index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Steeldriver	0	1		1		39	29	gma	Great Maul			5	5000	cgrn	cgrn	flpuni	invgma				ease		-50	-50	swing3		40	40	regen-stam		25	25	dmg%		150	250																																	0
Rixots Keen	0	1		1		3	2	ssd	Short Sword			5	5000	blac	blac	flpuni					dmg-min		5	5	att%		20	20	light		2	2	crush		25	25	ac		25	25	dmg%		100	100																									0
Blood Crescent	0	1		1		10	7	scm	Scimitar			5	5000	lblu		flpuni	invscmu				res-all		15	15	dmg%		60	80	hp		15	15	light		4	4	openwounds		33	33	swing2		15	15	lifesteal		15	15																					0
Krintizs Skewer	0	1		1		14	10	sbr	Saber			5	5000	cblu		flpuni	inv9sbu				ignore-ac		1	1	str		10	10	dex		10	10	manasteal		7	7	dmg%		50	50	dmg-norm		3	7																									0
Gleamscythe	0	1		1		18	13	flc	Falchion			5	5000	lred		flpuni	invflcu				light		3	3	mana		30	30	ac		20	20	swing2		20	20	dmg%		60	100	dmg-cold	50	3	5																									0
Azurewrath	0	0		1		18	13	crs	Crystal Sword			5	5000	lgry		flpuni	invcrsu				deadly		50	50	mag%		10	10	dmg-cold	100	3	6	dmg%		100	100	dur		25	25	dmg-mag		5	10																									0
Griswolds Edge	0	1		1		23	17	bsd	Broad Sword			5	5000	cred		flpuni	invbsdu				fire-min		10	12	fire-max		15	25	att		100	100	swing1		10	10	knock		1	1	dmg%		80	120	str		12	12																					0
Hellplague	0	1		1		30	22	lsd	Long Sword			5	5000	dred		flpuni	invlsdu				manasteal		5	5	lifesteal		5	5	pois-min		48	48	pois-max		96	96	pois-len		150	150	dmg%		70	80	dmg-fire		25	75	fireskill		2	2																	0
Culwens Point	0	1		1		39	29	wsd	War Sword			5	5000	whit	whit	flpuni					allskills		1	1	res-pois-len		50	50	balance2		20	20	swing2		20	20	att		60	60	dmg%		70	80																									0
Shadowfang	0	1		1		16	12	2hs	2-Handed Sword			5	5000	cgrn		flpuni	inv2hsu				manasteal		9	9	res-cold		20	20	light		-2	-2	dmg-cold	150	10	30	dmg%		100	100	lifesteal		9	9																									0
Soulflay	0	1		1		26	19	clm	Claymore			5	5000	dgrn	dgrn	flpuni					manasteal		4	10	lifesteal		4	4	dmg%		70	100	res-all		5	5	swing2		10	10																													0
Kinemils Awl	0	1		1		31	23	gis	Giant Sword			5	5000	dblu		flpuni	invgisu				att		100	150	mana		20	20	fire-min		6	6	fire-max		20	40	dmg%		80	100	skill	102	6	6																									0
Blacktongue	0	1		1		35	26	bsw	Bastard Sword			5	5000	lgrn		flpuni	invbswu				dmg-pois	150	192	192	noheal		1	1	att		50	50	res-pois		50	50	dmg%		50	60	*hp		-10	-10																									0
Ripsaw	0	1		1		35	26	flb	Flamberge			5	5000	cblu	cblu	flpuni					openwounds		80	80	dmg-max		15	15	manasteal		6	6	dmg%		80	100																																	0
The Patriarch	0	1		1		39	29	gsd	Great Sword			5	5000	cred		flpuni	invgsdu				red-dmg		3	3	red-mag		3	3	stupidity		1	1	gold%		100	100	dmg%		100	120	str		10	10																									0
Gull	0	1		1		6	4	dgr	Dagger			5	5000	lgry	lgry	flpuni					dmg-min		1	1	dmg-max		15	15	mag%		100	100	mana		-5	-5							0	0																									0
The Diggler	0	1		1		15	11	dir	Dirk			5	5000	dgry	dgry	flpuni					dex		10	10	dmg%		50	50	swing3		30	30	res-cold		25	25	res-fire		25	25	ignore-ac		1	1																									0
The Jade Tan Do	0	1		1		26	19	kri	Kris			5	5000	oran		flpuni	invkrsu				att		100	150	nofreeze		1	1	dmg-pois	100	460	460	res-pois		95	95	res-pois-max		20	20																													0
Irices Shard	0	1		1		34	25	bld	Blade			5	5000	dblu	dblu	flpuni					cast3		50	50	mana		50	50	att		55	55	res-all		10	10																																	0
The Dragon Chang	0	1		1		11	8	spr	Spear			5	5000	dpur	dpur	flpuni					att		35	35	dmg-min		10	10	light		2	2	dmg-undead		100	100	dmg-fire		3	6																													0
Razortine	0	1		1		16	12	tri	Trident			5	5000	oran		flpuni	invtriu				slow		25	25	reduce-ac		50	50	str		15	15	dex		8	8	swing2		30	30	dmg%		30	50																									0
Bloodthief	0	1		1		23	17	brn	Brandistock			5	5000	whit	whit	flpuni					openwounds		35	35	str		10	10	lifesteal		8	12	hp		26	26	dmg%		50	70																													0
Lance of Yaggai	0	1		1		30	22	spt	Spetum			5	5000	lred	lred	flpuni					thorns		8	8	ltng-min		1	1	ltng-max		60	60	res-all		15	15	swing2		40	40																													0
The Tannr Gorerod	0	1		1		36	27	pik	Pike			5	5000	lgry	lgry	flpuni					fire-min		23	23	fire-max		54	54	res-fire-max		15	15	hp		30	30	att		60	60	light		3	3	res-fire		15	15	dmg%		80	100																	0
Dimoaks Hew	0	1		1		11	8	bar	Bardiche			5	5000	blac	blac	flpuni					dex		15	15	dmg%		100	100	swing2		20	20	ac		-8	-8																																	0
Steelgoad	0	1		1		19	14	vou	Voulge			5	5000	cgrn	cgrn	flpuni					howl		96	96	deadly		30	30	att		30	30	res-all		5	5	dmg%		60	80	dur		20	40																									0
Soul Harvest	0	1		1		26	19	scy	Scythe			5	5000	dgry		flpuni	invscyu				openwounds		30	30	att		45	45	res-all		20	20	dmg%		50	90	manasteal		10	10	enr		5	5																									0
The Battlebranch	0	1		1		34	25	pax	Poleaxe			5	5000	lblu	lblu	flpuni					swing3		30	30	dex		10	10	dmg%		50	70	att		50	100	lifesteal		7	7																													0
Woestave	0	1		1		38	28	hal	Halberd			5	5000	dblu	dblu	flpuni					slow		50	50	openwounds		50	50	stupidity		3	3	dmg-ac		-50	-50	freeze		1	1	light		-3	-3	noheal		1	1	dmg%		20	40	*enr		-30	-30													0
The Grim Reaper	0	1		1		39	29	wsc	War Scythe			5	5000	lpur	lpur	flpuni					deadly		100	100	noheal		1	1	manasteal		5	5	dmg%		20	20	dmg-min		15	15	*hp		-20	-20																									0
Bane Ash	0	1		1		7	5	sst	Short Staff			5	5000	lgrn	lgrn	flpuni					fire-min		4	4	fire-max		6	6	res-fire		50	50	mana		30	30	swing2		20	20	dmg%		50	60	skill	36	5	5	skill	37	2	2																	0
Serpent Lord	0	1		1		12	9	lst	Long Staff			5	5000	cgrn	cgrn	flpuni					dmg-pois	75	40	40	res-pois		50	50	light		-1	-1	mana		10	10	dmg%		30	40	manasteal		100	100	reduce-ac		50	50																					0
Lazarus Spire	0	1		1		24	18	cst	Gnarled Staff			5	5000	lgry		flpuni	invcstu				res-ltng		75	75	red-dmg		5	5	enr		15	15	skill	53	1	1	skill	49	2	2	skill	42	3	3	regen-mana		43	43	dmg-ltng		1	28	sor		1	1													0
The Salamander	0	1		1		28	21	bst	Battle Staff			5	5000	dred	dred	flpuni					dmg-fire		15	32	res-fire		30	30	skill	51	1	1	skill	47	2	2	skill	37	3	3	fireskill		2	2																									0
The Iron Jang Bong	0	1		1		38	28	wst	War Staff			5	5000	dyel	dyel	flpuni					ac		30	30	cast3		20	20	dmg%		100	100	att%		50	50	skill	48	2	2	skill	46	2	2	skill	44	3	3	sor		2	2																	0
Pluckeye	0	1		1		10	7	sbw	Short Bow			5	5000	cblu	cblu	flpuni					att		28	28	dmg%		100	100	hp		10	10	light		2	2	manasteal		3	3	mana-kill		2	2																									0
Witherstring	0	1		1		18	13	hbw	Hunter’s Bow			5	5000	lred	lred	flpuni					swing3		30	30	dmg-min		1	1	dmg-max		3	3	att		50	50	magicarrow		3	3	dmg%		40	50																									0
Rimeraven	0	1		1		20	15	lbw	Long Bow			5	5000	dred	dred	flpuni					att%		50	50	dex		3	3	explosivearrow		3	3	str		3	3	dmg%		60	70																													0
Piercerib	0	1		1		27	20	cbw	Composite Bow			5	5000	cred		flpuni	invcbwu				res-all		10	10	deadly		30	30	att		60	60	dmg-undead		100	100	dmg%		40	60	swing2		50	50																									0
Pullspite	0	1		1		34	25	sbb	Short Battle Bow			5	5000	lgrn		flpuni	invsbbu				dmg-ltng		1	30	str		8	8	att		28	28	pierce		25	25	res-ltng		25	25	dmg%		70	90																									0
Wizendraw	0	1		1		35	26	lbb	Long Battle Bow			5	5000	dgrn	dgrn	flpuni					magicarrow		5	5	mana		30	30	swing2		20	20	res-cold		26	26	att		50	100	dmg%		70	80	enr		15	15	pierce-cold		20	35																	0
Hellclap	0	1		1		36	27	swb	Short War Bow			5	5000	cgrn		flpuni	invswbu				swing1		10	10	fire-min		15	15	fire-max		30	50	att		50	75	res-fire		40	40	dex		12	12	dmg%		70	90	fireskill		1	1																	0
Blastbark	0	1		1		38	28	lwb	Long War Bow			5	5000	lyel	lyel	flpuni					dmg%		70	130	str		5	5	ama		1	1	manasteal		3	3	skill	16	2	2																													0
Leadcrow	0	1		1		12	9	lxb	Light Crossbow			5	5000	dyel		flpuni	invlxbu				dex		10	10	hp		10	10	dmg%		70	70	res-pois		30	30	deadly		25	25	att		40	40																									0
Ichorsting	0	1		1		24	18	mxb	Crossbow			5	5000	lgld		flpuni	invmxbu				dmg-pois	75	102	102	dex		20	20	pierce		50	50	att		50	50	dmg%		50	50	swing2		20	20																									0
Hellcast	0	1		1		36	27	hxb	Heavy Crossbow			5	5000	dgld		flpuni	invhxbu				explosivearrow		5	5	res-fire-max		15	15	res-fire		15	15	att		70	70	swing2		20	20	dmg%		70	80	dmg-fire		15	35																					0
Doomspittle	0	1		1		38	28	rxb	Repeating Crossbow			5	5000	lpur		flpuni	invrxbu				ama		1	1	pierce		35	35	swing3		30	30	hp		15	15	dmg%		60	100																													0
War Bonnet	0	1		1		4	3	cap	Cap			5	5000	dpur		flpuni	invcapu				hp		15	15	att		30	30	dmg%		30	30	mana		15	15	ac		14	14																													0
Tarnhelm	0	1		1		20	15	skp	Skull Cap			5	5000	oran	oran	flpuni					gold%		75	75	mag%		25	50	allskills		1	1																																					0
Coif of Glory	0	1		1		19	14	hlm	Helm			5	5000	whit		flpuni	invhlmu				light-thorns		7	7	stupidity		1	1	res-ltng		15	15	ac-miss		100	100	ac		10	10																													0
Duskdeep	0	1		1		23	17	fhl	Full Helm			5	5000	lgry		flpuni	invfhlu				light		-2	-2	res-all		15	15	red-dmg		7	7	dmg-max		8	8	ac		10	20	ac%		30	50																									0
Wormskull	0	1		1		28	21	bhm	Bone Helm			5	5000	lgrn		flpuni	invbhmu				nec		1	1	lifesteal		5	5	mana		10	10	res-pois		25	25	dmg-pois	200	102	102																													0
Howltusk	0	1		1		34	25	ghm	Great Helm			5	5000	dgry	dgry	flpuni					red-mag		2	2	thorns		3	3	ac%		80	80	dmg-to-mana		35	35	knock		1	1	howl		33	33																									0
Undead Crown	0	1		1		39	29	crn	Crown			5	5000	blac	blac	flpuni					lifesteal		5	5	ac		40	40	res-pois		50	50	half-freeze		1	1	ac%		30	60	dmg-undead		50	50	att-undead		50	100	skill	69	3	3																	0
The Face of Horror	0	1		1		27	20	msk	Mask			5	5000	lblu	lblu	flpuni					howl		64	64	str		20	20	res-all		10	10	dmg-undead		50	50	ac		25	25																													0
Greyform	0	1		1		10	7	qui	Quilted Armor			5	5000	lgry	lgry	flpuni					red-mag		3	3	res-cold		20	20	res-fire		20	20	dex		10	10	lifesteal		5	5	ac		20	20																									0
Blinkbats Form	0	1		1		16	12	lea	Leather Armor			5	5000	dred	dred	flpuni					ac-miss		50	50	move2		10	10	ac		25	25	fire-min		3	3	fire-max		6	6	balance2		40	40																									0
The Centurion	0	1		1		19	14	hla	Hard Leather			5	5000	cred	cred	flpuni					ac		30	30	att		50	50	red-dmg		2	2	hp		15	15	mana		15	15	stam		15	15	regen		5	5	stamdrain		25	25																	0
Twitchthroe	0	1		1		22	16	stu	Studded Leather			5	5000	lgrn	lgrn	flpuni					swing2		20	20	dex		10	10	block		25	25	ac		25	25	str		10	10	balance2		20	20																									0
Darkglow	0	1		1		19	14	rng	Ring Mail			5	5000	dgrn	dgrn	flpuni					att		20	20	res-all-max		5	5	light		3	3	ac-hth		50	50	res-all		10	10	ac%		70	100																									0
Hawkmail	0	1		1		20	15	scl	Scale Mail			5	5000	cgrn	cgrn	flpuni					ac%		80	100	res-cold-max		15	15	res-cold		15	15	nofreeze		1	1	move2		10	10																													0
Sparking Mail	0	1		1		23	17	chn	Chain Mail			5	5000	lyel	lyel	flpuni					ac%		75	85	dmg-ltng		1	20	light-thorns		10	14	res-ltng		30	30																																	0
Venomsward	0	1		1		27	20	brs	Breast Plate			5	5000	dyel	dyel	flpuni					res-pois-max		15	15	res-pois-len		50	50	res-pois		90	90	light		2	2	ac%		60	100																													0
Iceblink	0	1		1		30	22	spl	Splint Mail			5	5000	lgld	lgld	flpuni					freeze		1	1	res-cold		30	30	light		4	4	red-mag		1	1	ac%		70	80																													0
Boneflesh	0	1		1		35	26	plt	Plate Mail			5	5000	dgld	dgld	flpuni					lifesteal		5	5	ac%		100	120	att		35	35	openwounds		25	25																																	0
Rockfleece	0	1		1		38	28	fld	Field Plate			5	5000	dgry	dgry	flpuni					ease		-10	-10	ac%		100	130	red-dmg%		10	10	red-dmg		5	5	str		5	5																													0
Rattlecage	0	1		1		39	29	gth	Gothic Plate			5	5000	dpur	dpur	flpuni					howl		52	52	att		45	45	crush		25	25	ac		200	200																																	0
Goldskin	0	1		1		38	28	ful	Full Plate Mail			5	5000	oran		flpuni	invfulu				ac%		120	150	res-all		35	35	thorns		10	10	light		2	2	gold%		100	100																													0
Victors Silk	0	1		1		38	28	aar	AncientArmor			5	5000	dblu		flpuni	invaaru				manasteal		5	5	allskills		1	1	light		2	2	ac%		100	120																																	0
Heavenly Garb	0	1		1		39	29	ltp	Light Plate			5	5000	cblu	cblu	flpuni					ac%		100	100	res-all		10	10	regen-mana		25	25	enr		15	15	dmg-undead		50	50	att-undead		100	100																									0
Pelta Lunata	0	1		1		3	2	buc	Buckler			5	5000	whit		flpuni	invbucu				ac		30	30	vit		10	10	str		2	2	enr		10	10	ac%		30	40	block		20	20	block2		40	40	dur		8	12																	0
Umbral Disk	0	1		1		12	9	sml	Small Shield			5	5000	lgry		flpuni	invsmlu				stupidity		1	1	dex		10	10	ac		30	30	hp		20	20	light		-2	-2	ac%		40	50	block		30	30	dur		10	15																	0
Stormguild	0	1		1		18	13	lrg	Large Shield			5	5000	dgry		flpuni	invlrgu				red-mag		1	1	res-ltng		25	25	ac		30	30	dmg-ltng		1	6	ac%		50	60	block		30	30	light-thorns		3	3	dur		10	15																	0
Wall of the Eyeless	0	1		1		27	20	bsh	Bone Shield			5	5000	lgld		flpuni	invbshu				mana-kill		5	5	manasteal		3	3	cast2		20	20	res-pois		20	20	ac%		30	40	ac		10	10																									0
Swordback Hold	0	1		1		20	15	spk	Spiked Shield			5	5000	lred		flpuni	invspku				thorns		5	5	block		20	20	openwounds		50	50	bloody		3	5	ac%		30	60	thorns		5	5	ac		10	10																					0
Steelclash	0	1		1		23	17	kit	Kite Shield			5	5000	blac		flpuni	invkitu				block		25	25	pal		1	1	red-dmg		3	3	light		3	3	ac%		60	100	block2		20	20	res-all		15	15	ac		20	20	dur		15	20													0
Bverrit Keep	0	1		1		26	19	tow	Tower Shield			5	5000	lblu		flpuni	invtowu				ac		30	30	res-fire		75	75	str		5	5	red-mag		5	5	ac%		80	120	block		10	10	dur		80	100																					0
The Ward	0	1		1		35	26	gts	Gothic Shield			5	5000	dblu		flpuni	invgtsu				ac		40	40	red-mag		2	2	str		10	10	block		10	10	ac%		100	100	res-all		30	50																									0
The Hand of Broc	0	1		1		7	5	lgl	Gloves			5	5000	cblu	cblu	flpuni					manasteal		3	3	lifesteal		3	3	res-pois		10	10	mana		20	20	ac		10	10	ac%		10	20																									0
Bloodfist	0	1		1		12	9	vgl	Heavy Gloves			5	5000	oran	oran	flpuni					dmg-min		5	5	hp		40	40	balance2		30	30	ac		10	10	ac%		10	20	swing2		10	10																									0
Chance Guards	0	1		1		20	15	mgl	Bracers			5	5000	lred	lred	flpuni					gold%		200	200	mag%		25	40	att		25	25	ac		15	15	light		2	2	ac%		20	30																									0
Magefist	0	1		1		31	23	tgl	Light Gauntlets			5	5000	lgry	lgry	flpuni					cast3		20	20	regen-mana		25	25	fireskill		1	1	dmg-fire		1	6	ac		10	10	ac%		20	30																									0
Frostburn	0	1		1		39	29	hgl	Gauntlets			5	5000	dred	dred	flpuni					ac		30	30	dmg%		5	5	mana%		40	40	dmg-cold	50	1	6	ac%		10	20																													0
Hotspur	0	1		1		7	5	lbt	Leather Boots			5	5000	cred	cred	flpuni					res-fire-max		15	15	hp		15	15	dmg-fire		3	6	ac		6	6	res-fire		45	45	ac%		10	20																									0
Gorefoot	0	1		1		12	9	vbt	Heavy Boots			5	5000	dblu	dblu	flpuni					bloody		3	5	move2		20	20	manasteal		2	2	thorns		2	2	ac		12	12	ac%		20	30	skill	132	2	2																					0
Treads of Cthon	0	1		1		20	15	mbt	Chain Boots			5	5000	lgrn	lgrn	flpuni					move2		30	30	ac-miss		50	50	stamdrain		50	50	hp		10	10	ac		12	12	ac%		30	40																									0
Goblin Toe	0	1		1		30	22	tbt	Light Plate Boots			5	5000	dgry	dgry	flpuni					crush		25	25	red-dmg		1	1	red-mag		1	1	ac		15	15	light		-1	-1	ac%		50	60																									0
Tearhaunch	0	1		1		39	29	hbt	Plate Boots			5	5000	dgrn	dgrn	flpuni					ac		35	35	str		5	5	dex		5	5	move2		20	20	res-all		10	10	ac%		60	80	skill	115	2	2																					0
Lenyms Cord	0	1		1		10	7	lbl	Sash			5	5000	cgrn	cgrn	flpuni					mana		15	15	regen-mana		30	30	res-all		5	5	light		1	1																																	0
Snakecord	0	1		1		16	12	vbl	Light Belt			5	5000	blac	blac	flpuni					dmg-pois	75	40	40	res-pois		25	25	ac		10	10	ac%		20	30	regen		5	5	res-pois-len		50	50																									0
Nightsmoke	0	1		1		27	20	mbl	Belt			5	5000	lyel	lyel	flpuni					res-all		10	10	dmg-to-mana		50	50	mana		20	20	red-dmg		2	2	ac		15	15	ac%		30	50																									0
Goldwrap	0	1		1		36	27	tbl	Heavy Belt			5	5000	lblu	lblu	flpuni					mag%		30	30	light		2	2	ac		25	25	swing2		10	10	ac%		40	60	gold%		50	80																									0
Bladebuckle	0	1		1		39	29	hbl	Girdle			5	5000	dyel	dyel	flpuni					thorns		8	8	ac		30	30	red-dmg		3	3	str		5	5	dex		10	10	ac%		80	100	balance2		30	30																					0
Nokozan Relic	0	1		20		14	10	amu	Amulet			5	5000	lgld		flpuni					dmg-fire		3	6	res-fire-max		10	10	res-fire		50	50	light		3	3	balance2		20	20																													0
The Eye of Etlich	0	1		5		20	15	amu	Amulet			5	5000	dgld		flpuni					ac-miss		10	40	light		1	5	allskills		1	1	lifesteal		3	7	cold-min		1	2	cold-max		3	5	cold-len		50	250																					0
The Mahim-Oak Curio	0	1		10		34	25	amu	Amulet			5	5000	lpur		flpuni					dex		10	10	str		10	10	enr		10	10	vit		10	10	ac		10	10	att%		10	10	res-all		10	10	ac%		10	10																	0
Nagelring	0	1		15		10	7	rin	Ring			5	5000	dpur		flpuni					red-mag		3	3	thorns		3	3	att		50	75	mag%		15	30																																	0
Manald Heal	0	1		15		20	15	rin	Ring			5	5000	oran		flpuni					manasteal		4	7	regen		5	8	hp		20	20	regen-mana		20	20																																	0
The Stone of Jordan	0	1		1		39	29	rin	Ring			5	5000	whit		flpuni					mana		20	20	mana%		25	25	ltng-min		1	1	allskills		1	1	ltng-max		12	12																													0
Amulet of the Viper	0	1		1		0	0	vip	Amulet			5	5000	lgry		flpuni					mana		10	10	res-pois		25	25	hp		10	10			0	0			0	0			0	0			0	0																					0
Staff of Kings	0	1		1		0	0	msf	Staff			5	5000	dgry		flpuni					res-all		10	10	swing3		50	50			0	0			0	0			0	0			0	0			0	0																					0
Horadric Staff	0	1		1		0	0	hst	Staff			5	5000	blac		flpuni					mana		10	10	res-pois		25	25	hp		10	10	res-all		10	10	swing3		50	50			0	0			0	0																					0
Hell Forge Hammer	0	1		1		0	0	hfh	Hammer			5	5000	cred		flpuni					fire-min		5	5	fire-max		20	20	res-fire		40	40	ac		35	35			0	0			0	0			0	0																					0
KhalimFlail	0	1		1		0	0	qf1	Flail			5	5000	dblu		flpuni					ltng-min		1	1	ltng-max		20	20	swing3		50	50	att		40	40			0	0			0	0			0	0																					0
SuperKhalimFlail	0	1		1		0	0	qf2	Flail			5	5000	dblu		flpuni					ltng-min		1	1	ltng-max		40	40	swing3		50	50	att		40	40	manasteal		6	6	lifesteal		6	6			0	0																					0
Expansion																flpuni																																																					0
Coldkill	100	1		1		44	36	9ha	Hatchet			5	5000	cblu	cblu	flpuni	invhaxu				dmg-cold	50	40	40	res-cold		15	15	res-cold-max		15	15	swing3		30	30	hit-skill	45	10	10	gethit-skill	44	10	5	dmg%		150	190																					0
Butcher's Pupil	100	1		1		47	39	9ax	Cleaver			5	5000	cblu	cblu	flpuni	invaxeu				deadly		35	35	openwounds		25	25	dmg%		150	200	indestruct		1	1	swing3		30	30	dmg-norm		30	50																									0
Islestrike	100	1		1		51	43	92a	Twin Axe			5	5000			flpuni					dru		2	2	str		10	10	dex		10	10	vit		10	10	enr		10	10	ac-miss		50	50	crush		25	25	dmg%		170	190	skill	233	1	1	skill	248	1	1									0
Pompe's Wrath	100	1		1		53	45	9mp	Crowbill			5	5000	cred	cred	flpuni	invmpiu				hit-skill	244	4	8	slow		50	50	dmg-fire		35	150	knock		1	1	dmg%		140	170																													0
Guardian Naga	100	1		1		56	48	9wa	Naga			5	5000			flpuni					hit-skill	92	5	8	thorns		15	15	res-pois		30	30	dmg%		150	180	dmg-pois	250	256	256	dmg-max		20	20																									0
Warlord's Trust	100	1		1		43	35	9la	Military Axe			5	5000	whit	whit	flpuni					ac		75	75	regen		20	20	vit/lvl	4			res-all		10	10	rep-dur	25			dmg%		175	175																									0
Spellsteel	100	1		1		47	39	9ba	Bearded Axe			5	5000	whit	whit	flpuni					ease		-60	-60	mana		100	100	red-mag		12	15	cast1		10	10	dmg%		165	165	regen-mana		25	25	charged	54	20	1	charged	87	30	3	charged	101	100	10	charged	225	60	12									0
