name	version	completed	beta	Level	LevelReq	code	type	transform	invtransform	transformcolor	NumMods	ItemMod1Code	ItemMod1Param	ItemMod1Min	ItemMod1Max	ItemMod2Code	ItemMod2Param	ItemMod2Min	ItemMod2Max	ItemMod3Code	ItemMod3Param	ItemMod3Min	ItemMod3Max	ItemMod4Code	ItemMod4Param	ItemMod4Min	ItemMod4Max	ItemMod5Code	ItemMod5Param	ItemMod5Min	ItemMod5Max	ItemMod6Code	ItemMod6Param	ItemMod6Min	ItemMod6Max	ItemMod7Code	ItemMod7Param	ItemMod7Min	ItemMod7Max	ItemMod8Code	ItemMod8Param	ItemMod8Min	ItemMod8Max	ItemMod9Code	ItemMod9Param	ItemMod9Min	ItemMod9Max	ItemMod10Code	ItemMod10Param	ItemMod10Min	ItemMod10Max
Ironstone	0	1	1	0	0	whm	War Hammer	1	1	6	10	att	0	80	80	dmg%	0	60	60	ltng-min	0	1	1	ltng-max	0	10	10	dex	0	-5	-5		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Bonesob	0	1	1	0	0	mau	Maul	1	0	7	10	dmg%	0	200	200	crush	0	40	40	res-fire	0	30	30	res-cold	0	30	30		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Steeldriver	0	1	1	0	0	gma	Great Maul	1	1	12	10	ease	0	-50	-50	swing3	0	30	30	regen-stam	0	25	25																												0
Rixots Keen	0	1	1	0	0	ssd	Short Sword	1	1	3	10	dmg-min	0	5	5	att%	0	20	20	light	0	2	2	crush	0	25	25	ac	0	25	25		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Blood Crescent	0	1	1	0	0	scm	Scimitar	1	0	4	10	res-all	0	15	15	dmg%	0	25	25	hp	0	15	15	light	0	4	4		0																0				0	0	0
Krintizs Skewer	0	1	1	0	0	sbr	Saber	1	0	6	10	ignore-ac	0	1	1	str	0	10	10	dex	0	10	10	manasteal	0	3	3	dmg%	0	50	50		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Gleamscythe	0	1	1	0	0	flc	Falchion	1	0	7	10	light	0	3	3	mana	0	30	30	ac	0	20	20	swing2	0	20	20		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Azurewrath	0	1	1	0	0	crs	Crystal Sword	1	0	1	10	deadly	0	30	30	mag%	0	10	10	cold-min	0	3	3	cold-max	0	6	6	cold-len	0	100	100																				0
Griswolds Edge	0	1	1	0	0	bsd	Broad Sword	1	0	9	10	fire-min	0	8	10	fire-max	0	12	16	att	0	40	40	swing1	0	10	10	knock	0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Hellplague	0	1	1	0	0	lsd	Long Sword	1	0	8	10	manasteal	0	5	5	lifesteal	0	5	5	pois-min	0	48	48	pois-max	0	96	96	pois-len	0	150	150		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Culwens Point	0	1	1	0	0	wsd	War Sword	1	1	0	10	allskills	0	1	1	res-pois-len	0	50	50	balance2	0	20	20	block2	0	20	20	att	0	60	60																				0
Shadowfang	0	1	1	0	0	2hs	2-Handed Sword	1	0	12	10	manasteal	0	5	5	res-cold	0	20	20	light	0	-2	-2	cold-min	0	5	5	cold-max	0	10	10	cold-len	0	75	75		0	0	0		0	0	0		0	0	0		0	0	0
Soulflay	0	1	1	0	0	clm	Claymore	1	1	11	10	manasteal	0	4	10	lifesteal	0	4	4	dmg%	0	30	30	res-all	0	5	5		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Kinemils Awl	0	1	1	0	0	gis	Giant Sword	1	0	5	10	att	0	45	45	mana	0	20	20	fire-min	0	6	6	fire-max	0	12	12																								0
Blacktongue	0	1	1	0	0	bsw	Bastard Sword	1	0	10	10	pois-min	0	48	48	noheal	0	1	1	hp	0	-10	-10	res-pois	0	50	50	pois-max	0	64	64	pois-len	0	75	75		0	0	0		0	0	0		0	0	0		0	0	0
Ripsaw	0	1	1	0	0	flb	Flamberge	1	1	6	10	openwounds	0	50	50	bloody	0	3	5	dmg-max	0	15	15	manasteal	0	6	6																								0
The Patriarch	0	1	1	0	0	gsd	Great Sword	1	0	9	10	red-dmg	0	3	3	red-mag	0	3	3	stupidity	0	50	50	gold%	0	100	100																								0
Gull	0	1	1	0	0	dgr	Dagger	1	1	1	10	dmg-min	0	1	1	dmg-max	0	15	15	mag%	0	50	50	mana	0	-5	-5		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Diggler	0	1	1	0	0	dir	Dirk	1	1	2	10	dex	0	10	10	dmg%	0	50	50	swing3	0	30	30	res-cold	0	25	25	res-fire	0	25	25		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Jade Tan Do	0	1	1	0	0	kri	Kriss	1	0	19	10	att	0	75	75	nofreeze	0	1	1	pois-min	0	24	24	pois-max	0	48	48	pois-len	0	75	75																				0
Irices Shard	0	1	1	0	0	bld	Blade	1	1	5	10	cast3	0	20	20	mana	0	50	50	att	0	55	55	res-all	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Dragon Chang	0	1	1	0	0	spr	Spear	1	1	18	10	att	0	35	35	dmg-min	0	10	10	light	0	2	2	dmg-undead	0	100	100		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Razortine	0	1	1	0	0	tri	Trident	1	0	19	10	slow	0	25	25	reduce-ac	0	50	50	str	0	15	15	dex	0	8	8	swing3	0	30	30		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Bloodthief	0	1	1	0	0	brn	Brandistock	1	1	0	10	openwounds	0	35	35	str	0	10	10	lifesteal	0	8	8	hp	0	26	26		0				0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Lance of Yaggai	0	1	1	0	0	spt	Spetum	1	1	7	10	thorns	0	8	8	ltng-min	0	1	1	ltng-max	0	40	40	res-all	0	15	15																								0
The Tannr Gorerod	0	1	1	0	0	pik	Pike	1	1	1	10	fire-min	0	12	12	fire-max	0	18	18	res-fire-max	0	15	15	hp	0	30	30	att	0	60	60	light	0	3	3	res-fire	0	15	15		0	0	0		0	0	0		0	0	0
Dimoaks Hew	0	1	1	0	0	bar	Bardiche	1	1	3	10	dex	0	15	15	dmg%	0	100	100	swing2	0	20	20	ac	0	-8	-8		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Steelgoad	0	1	1	0	0	vou	Voulge	1	1	12	10	howl	0	96	96	deadly	0	30	30	att	0	30	30	res-all	0	5	5																								0
Soul Harvest	0	1	1	0	0	scy	Scythe	1	0	2	10	openwounds	0	30	30	att	0	45	45	res-all	0	20	20	pois-min	0	32	32	pois-max	0	48	48	pois-len	0	125	125		0	0	0		0	0	0		0	0	0		0	0	0
The Battlebranch	0	1	1	0	0	pax	Poleaxe	1	1	4	10	swing3	0	30	30	dex	0	10	10	dmg%	0	50	50	att	0	40	40	lifesteal	0	7	7		0				0				0	0	0		0	0	0		0	0	0
Woestave	0	1	1	0	0	hal	Halberd	1	1	5	10	pois-min	0	24	24	pois-max	0	96	96	slow	0	50	50	res-pois-max	0	15	15	res-pois	0	15	15	light	0	2	2	pois-len	0	75	75		0	0	0		0	0	0		0	0	0
The Grim Reaper	0	1	1	0	0	wsc	War Scythe	1	1	17	10	deadly	0	50	50	noheal	0	1	1	manasteal	0	5	5	hp	0	-20	-20																								0
Bane Ash	0	1	1	0	0	sst	Short Staff	1	1	10	10	fire-min	0	4	4	fire-max	0	6	6	res-fire	0	50	50	mana	0	30	30	swing2	0	20	20		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Serpent Lord	0	1	1	0	0	lst	Long Staff	1	1	12	10	pois-min	0	8	8	pois-max	0	128	128	res-pois	0	50	50	light	0	-1	-1	pois-len	0	75	75	mana	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0
Lazarus Spire	0	1	1	0	0	cst	Gnarled Staff	1	0	1	10	res-all	0	30	30	red-mag	0	3	3	mana	0	20	20	swing2	0	20	20	str	0	9	9	fire-min	0	7	7	fire-max	0	12	12		0	0	0		0	0	0		0	0	0
The Salamander	0	1	1	0	0	bst	Battle Staff	1	1	8	10	fireskill	0	2	2	fire-min	0	1	1	fire-max	0	10	10	res-fire	0	20	20	att	0	50	50		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Iron Jang Bong	0	1	1	0	0	wst	War Staff	1	1	14	10	ltng-min	0	1	1	att%	0	50	50	ac	0	25	25	sor	0	1	1	cast3	0	20	20	ltng-max	0	25	25		0	0	0		0	0	0		0	0	0		0	0	0
Pluckeye	0	1	1	0	0	sbw	Short Bow	1	1	6	10	att	0	28	28	dmg%	0	100	100	hp	0	10	10	light	0	2	2	manasteal	0	3	3		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Witherstring	0	1	1	0	0	hbw	Hunter’s Bow	1	1	7	10	swing3	0	30	30	dmg-min	0	1	1	dmg-max	0	3	3	att	0	50	50	magicarrow	0	35	35		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Rimeraven	0	1	1	0	0	lbw	Long Bow	1	1	8	10	att%	0	50	50	dex	0	3	3	explosivearrow	0	30	30	str	0	3	3		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Piercerib	0	1	1	0	0	cbw	Composite Bow	1	0	9	10	res-all	0	10	10	deadly	0	30	30	att	0	60	60	dmg-undead	0	100	100		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Pullspite	0	1	1	0	0	sbb	Short Battle Bow	1	0	10	10	ltng-min	0	1	1	str	0	8	8	att	0	28	28	pierce	0	10	10	ltng-max	0	10	10	res-ltng	0	25	25		0	0	0		0	0	0		0	0	0		0	0	0
Wizendraw	0	1	1	0	0	lbb	Long Battle Bow	1	1	11	10	magicarrow	0	1	1	mana	0	30	30	swing2	0	20	20	res-cold	0	26	26	att	0	36	36		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Hellclap	0	1	1	0	0	swb	Short War Bow	1	0	12	10	swing1	0	10	10	fire-min	0	6	6	fire-max	0	9	9	att	0	20	20	res-fire	0	40	40	dex	0	12	12		0	0	0		0	0	0		0	0	0		0	0	0
Blastbark	0	1	1	0	0	lwb	Long War Bow	1	1	13	10	dmg%	0	50	50	str	0	5	5	ama	0	1	1	manasteal	0	3	3		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Leadcrow	0	1	1	0	0	lxb	Light Crossbow	1	0	14	10	dex	0	10	10	hp	0	10	10	dmg%	0	50	50	res-pois	0	30	30	deadly	0	25	25	att	0	40	40		0	0	0		0	0	0		0	0	0		0	0	0
Ichorsting	0	1	1	0	0	mxb	Crossbow	1	0	15	10	pois-min	0	24	24	pois-max	0	32	32	dex	0	20	20	pierce	0	50	50	att	0	50	50	pois-len	0	75	75		0	0	0		0	0	0		0	0	0		0	0	0
Hellcast	0	1	1	0	0	hxb	Heavy Crossbow	1	0	16	10	explosivearrow	0	1	1	res-fire-max	0	15	15	res-fire	0	15	15	att	0	70	70	swing2	0	20	20		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Doomspittle	0	1	1	0	0	rxb	Repeating Crossbow	1	0	17	10	ama	0	1	1	pierce	0	35	35	swing3	0	30	30	hp	0	15	15		0				0				0	0	0		0	0	0		0	0	0		0	0	0
War Bonnet	0	1	1	0	0	cap	Cap	1	0	18	10	hp	0	15	15	att	0	30	30	dmg%	0	40	40	mana	0	15	15		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Tarnhelm	0	1	1	0	0	skp	Skull Cap	1	1	19	10	gold%	0	75	75	mag%	0	25	50	allskills	0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Coif of Glory	0	1	1	0	0	hlm	Helm	1	0	0	10	light-thorns	0	4	4	stupidity	0	1	1	res-ltng	0	15	15	ac-miss	0	25	25		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Duskdeep	0	1	1	0	0	fhl	Full Helm	1	0	1	10	light	0	-2	-2	res-all	0	5	5	red-dmg	0	3	3	dmg-max	0	8	8		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Wormskull	0	1	1	0	0	bhm	Bone Helm	1	0	10	10	nec	0	1	1	lifesteal	0	5	5	mana	0	10	10	res-pois	0	25	25																								0
Howltusk	0	1	1	0	0	ghm	Great Helm	1	1	2	10	red-mag	0	2	2	thorns	0	3	3	ac%	0	40	40	dmg-to-mana	0	35	35		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Undead Crown	0	1	1	0	0	crn	Crown	1	1	3	10	lifesteal	0	4	4	ac	0	8	8	res-pois	0	50	50	half-freeze	0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Face of Horror	0	1	1	0	0	msk	Mask	1	1	4	10	howl	0	64	64	str	0	20	20	res-all	0	5	5	dmg-undead	0	50	50		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Greyform	0	1	1	0	0	qui	Quilted Armor	1	1	1	10	red-mag	0	3	3	res-cold	0	20	20	res-fire	0	20	20	dex	0	10	10	lifesteal	0	5	5		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Blinkbats Form	0	1	1	0	0	lea	Leather Armor	1	1	8	10	ac-miss	0	16	16	move1	0	10	10	ac	0	25	25	fire-min	0	3	3	fire-max	0	6	6		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Centurion	0	1	1	0	0	hla	Hard Leather	1	1	9	10	ac	0	30	30	att	0	25	25	red-dmg	0	2	2	hp	0	15	15	mana	0	15	15	stam	0	15	15	regen	0	3	3		0	0	0		0	0	0		0	0	0
Twitchthroe	0	1	1	0	0	stu	Studded Leather	1	1	10	10	swing1	0	10	10	dex	0	10	10	block	0	25	25	ac	0	15	15	str	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Darkglow	0	1	1	0	0	rng	Ring Mail	1	1	11	10	att	0	20	20	res-all-max	0	5	5	light	0	3	3	ac-hth	0	25	25	res-all	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Hawkmail	0	1	1	0	0	scl	Scale Mail	1	1	12	10	ac	0	12	12	res-cold-max	0	15	15	res-cold	0	15	15	nofreeze	0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Sparking Mail	0	1	1	0	0	chn	Chain Mail	1	1	13	10	ac	0	40	40	ltng-min	0	1	1	ltng-max	0	10	10	light-thorns	0	1	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Venomsward	0	1	1	0	0	brs	Breast Plate	1	1	14	10	pois-min	0	24	24	pois-max	0	32	32	dmg%	0	50	50	res-pois-max	0	15	15	light	0	2	2	pois-len	0	75	75	res-pois	0	15	15		0	0	0		0	0	0		0	0	0
Iceblink	0	1	1	0	0	spl	Splint Mail	1	1	15	10	freeze	0	1	1	res-cold	0	30	30	light	0	4	4	red-mag	0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Boneflesh	0	1	1	0	0	plt	Plate Mail	1	1	16	10	lifesteal	0	5	5	ac	0	35	35	att	0	35	35		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Rockfleece	0	1	1	0	0	fld	Field Plate	1	1	17	10	ease	0	-10	-10	ac	0	25	25	res-pois	0	50	50	red-dmg	0	3	3	str	0	5	5		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Rattlecage	0	1	1	0	0	gth	Gothic Plate	1	1	18	10	howl	0	1	1	att	0	45	45	crush	0	25	25	ac	0	45	45		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Goldskin	0	1	1	0	0	ful	Full Plate Mail	1	0	19	10	ac	0	75	75	res-all	0	30	30	thorns	0	1	10	light	0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Victors Silk	0	1	1	0	0	aar	AncientArmor	1	0	5	10	manasteal	0	5	5	allskills	0	1	1	light	0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Heavenly Garb	0	1	1	0	0	ltp	LightPlate	1	1	6	10	ac%	0	100	100	res-all	0	10	10	regen-mana	0	25	25		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Pelta Lunata	0	1	1	0	0	buc	Buckler	1	0	0	10	ac	0	40	40	hp	0	10	10	str	0	2	2	mana	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Umbral Disk	0	1	1	0	0	sml	Small Shield	1	0	1	10	stupidity	0	1	1	dex	0	10	10	ac	0	18	18	hp	0	20	20	light	0	-2	-2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Stormguild	0	1	1	0	0	lrg	Large Shield	1	0	2	10	red-mag	0	1	1	res-ltng	0	25	25	ac	0	15	15	ltng-min	0	1	1	ltng-max	0	6	6		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Wall of the Eyeless	0	1	1	0	0	bsh	Bone Shield	1	0	15	10	mana-kill	0	5	5	manasteal	0	3	3	cast3	0	20	20	res-pois	0	20	20																								0
Swordback Hold	0	1	1	0	0	spk	Spiked Shield	1	0	7	10	thorns	0	5	5	block	0	20	20	openwounds	0	50	50	bloody	0	3	5																								0
Steelclash	0	1	1	0	0	kit	Kite Shield	1	0	3	10	block	0	25	25	pal	0	1	1	red-dmg	0	3	3	light	0	3	3		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Bverrit Keep	0	1	1	0	0	tow	Tower Shield	1	0	4	10	ac	0	20	20	res-fire	0	25	25	str	0	5	5	red-mag	0	4	4		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Ward	0	1	1	0	0	gts	Gothic Shield	1	0	5	10	ac	0	40	40	red-mag	0	2	2	str	0	10	10	block	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Hand of Broc	0	1	1	0	0	lgl	Gloves	1	1	6	10	manasteal	0	3	3	lifesteal	0	3	3	res-pois	0	10	10	mana	0	20	20		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Bloodfist	0	1	1	0	0	vgl	Heavy Gloves	1	1	19	10	dmg-min	0	5	5	hp	0	40	40	balance3	0	30	30																												0
Chance Guards	0	1	1	0	0	mgl	Bracers	1	1	7	10	gold%	0	200	200	mag%	0	24	24	att	0	25	25	ac	0	15	15	light	0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Magefist	0	1	1	0	0	tgl	Light Gauntlets	1	1	1	10	cast3	0	20	20	regen-mana	0	25	25	fireskill	0	1	1	fire-min	0	1	1	fire-max	0	5	5																				0
Frostburn	0	1	1	0	0	hgl	Gauntlets	1	1	8	10	ac	0	30	30	dmg%	0	85	85	mana%	0	40	40	cold-min	0	1	1	cold-max	0	6	6	cold-len	0	50	50		0	0	0		0	0	0		0	0	0		0	0	0
Hotspur	0	1	1	0	0	lbt	Leather Boots	1	1	9	10	res-fire-max	0	15	15	hp	0	15	15	fire-min	0	3	3	fire-max	0	6	6		0	0	0	res-fire	0	15	15		0	0	0		0	0	0		0	0	0		0	0	0
Gorefoot	0	1	1	0	0	vbt	Heavy Boots	1	1	5	10	bloody	0	3	5	move2	0	20	20	manasteal	0	2	2	thorns	0	2	2																								0
Treads of Cthon	0	1	1	0	0	mbt	Chain Boots	1	1	10	10	move3	0	30	30	ac-miss	0	50	50	stamdrain	0	50	50	hp	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Goblin Toe	0	1	1	0	0	tbt	Light Plate Boots	1	1	2	10	crush	0	25	25	red-dmg	0	1	1	red-mag	0	1	1	ac	0	5	5	light	0	-1	-1																				0
Tearhaunch	0	1	1	0	0	hbt	Plate Boots	1	1	11	10	ac	0	10	10	str	0	5	5	dex	0	5	5	move2	0	20	20	res-all	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Lenyms Cord	0	1	1	0	0	lbl	Sash	1	1	12	10	mana	0	15	15	regen-mana	0	30	30	res-all	0	5	5	light	0	1	1		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Snakecord	0	1	1	0	0	vbl	Light Belt	1	1	3	10	pois-min	0	16	16	pois-max	0	24	32	pois-len	0	75	75	res-pois	0	25	25	ac	0	11	11	regen	0	5	5																0
Nightsmoke	0	1	1	0	0	mbl	Belt	1	1	13	10	res-all	0	10	10	dmg-to-mana	0	50	50	mana	0	20	20	red-dmg	0	2	2		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Goldwrap	0	1	1	0	0	tbl	Heavy Belt	1	1	4	10	mag%	0	30	30	light	0	2	2	ac	0	40	40	swing1	0	10	10																								0
Bladebuckle	0	1	1	0	0	hbl	Girdle	1	1	14	10	thorns	0	8	8	ac	0	20	20	red-dmg	0	3	3	str	0	5	5	dex	0	10	10		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Nokozan Relic	0	1	1	0	0	amu	Amulet	1	0	15	10	fire-min	0	3	3	res-fire-max	0	10	10	res-fire	0	10	10	light	0	3	3	fire-max	0	6	6		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
The Eye of Etlich	0	1	1	0	0	amu	Amulet	1	0	16	10	ac-miss	0	10	40	light	0	1	5	allskills	0	1	1	lifesteal	0	3	7	cold-min	0	1	2	cold-max	0	3	5	cold-len	0	50	250		0	0	0		0	0	0		0	0	0
The Mahim-Oak Curio	0	1	1	0	0	amu	Amulet	1	0	17	10	dex	0	5	5	mana	0	20	20	str	0	5	5	hp	0	20	20	ac	0	10	10	att	0	40	40		0				0	0	0		0	0	0		0	0	0
Nagelring	0	1	1	0	0	rin	Ring	1	0	18	10	red-mag	0	2	2	thorns	0	3	3	att	0	18	18	mag%	0	15	15		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
Manald Heal	0	1	1	0	0	rin	Ring	1	0	19	10	manasteal	0	4	4	regen	0	5	5	hp	0	20	20		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0		0	0	0
