skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Jab	10	ama	jab	5	7																																																																									amazon_jab_1				weapon_1ht_1	weapon_2ht_1								12	16																	1	3		h2h		spea										SQ	A1	xx	1		1	1		1	1								1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	6	12	23											ln34	dmg%											-15	Percent damage base	60	Percent damage per level									1	10	9						8	128																																			256	1000
Cold Arrow	11		cold arrow	4										coldarrow																																																																													11					coldarrow													1	4		rng		miss										A1	A1	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1		1				1	5	19	28	1																																12	damage synergy	1	10	9						7	128														cold	6	4	5	8	16	42	8	4	5	9	17	44	(blvl)*((stat('Energy'.accr)/3))	100	30	30	30				384	3000
Multiple Shot	12	ama	multiple shot	4	8												multipleshotarrow	multipleshotbolt																																																																									11	17					multipleshotarrow	multipleshotbolt											1	7		rng		miss										A1	A1	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1		1				1	8	4	5	1										min(28,ln12)	# missiles	par3	activation frame	2	triggered	edmn*ulvl		2	number of arrows to fire	3	additional arrows per level	1	Acivation frame of arrows.											1								8	128	10	39					15	51																			skpt*100								384	3000
Dodge	13	ama	dodge																																											dodge		passive_dodge	blvl*6+10	passive_evade	blvl*6+10	passive_avoid	blvl*6+10																								amazon_dodge_1																																1	0		h2h												S1	S1	xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						0	8	0	0	1						1												10	min % dodge	80	max % dodge													1								8																																				384	3000
Power Strike	14	ama	power strike	6	2																																												((blvl*4)+stat('dexterity'.base/37))		((blvl*3)+stat('dexterity'.base/38))		((blvl*2)+stat('dexterity'.base/41))																																																								1	4		h2h		spea										A1	A1	xx				1		1	1								1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	6	11	24	1																																10	damage synergy	1	20	12						8	128														ltng	1	0	0	0	0	0	16	18	36	54	72	90	lvl*5*ulvl*6/5								384	3000
Poison Javelin	15		poison javelin	4										poisonjav	1																																																														amazon_cast_poison		1												11					poisonjav													1	2		rng		jave										TH	TH	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												15	1						1	6	6	22	1																																12	damage synergy	1									128														pois	32	16	32	48	64	96	48	16	36	52	68	84	lvl*5*ulvl*6/5	200	50	50	50				384	3000
Exploding Arrow	16	ama	exploding arrow	4										explodingarrow																																																																													11					explodingarrow													1	5		rng		miss										A1	A1	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1		1				1	7	11	18	1																																12	damage synergy	1	20	9						8	128														fire	2	15	17	9	12	20	6	15	18	11	14	23	lvl*5*ulvl*6/5								512	8000
Slow Missiles	17	ama	slow missiles		6																50563		slowmissiles	80*blvl	ln56	skill_handofathena	ln12																																																		amazon_handofathena											cast_slowmissiles																					1	8		none												SC	SC	xx					4												1						amazon_handofathena	cast_slowmissiles	(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												150							1	7	21	21	1																		33	% velocity for missiles	3	% velocity per level	300	duration	150	duration per level	20	radius of effect	0	radius per level					1								8																																				512	8000
Avoid	18		avoid																																											avoid		passive_avoid	dm12																												amazon_dodge_1																																1	0		h2h												S1	S1	xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						0	8	0	0	1						1												15	min % avoid	75	max % avoid													1								8																																				512	8000
Impale	19	ama	impale	7	2																																																																								amazon_impale_1		1	1																													1	6		h2h		spea										SQ	A1	xx	8		1	1		1	1								1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	8	3	23	1										ln12	dm%	par6-dm34	dur loss chance	par5	dur loss			300	Percent damage	25	% damage per level	0	% chance durability loss delta min	30	% chance durability loss delta max	1	durability loss	50	% max chance durability loss					1	100	25						8	128																											lvl*5*ulvl*6/5								512	8000
Lightning Bolt	20	ama	lightning bolt	4										lightningjavelin	1																																																																												11					lightningjavelin													1	6		rng		jave										TH	TH	xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	6	8	24	1																																3	damage synergy	1								8	96														ltng	1	0	0	0	0	0	40	12	18	28	48	88	lvl*5*ulvl*6/5								512	8000
Ice Arrow	21	ama	ice arrow	4										icearrow																																																																													11					icearrow													1	6		rng		miss										A1	A1	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1		1				1	6	16	20	1																														5	length synergy	8	damage synergy	1	20	9						8	128														cold	6	6	12	18	26	36	10	6	13	19	27	38	lvl*5*ulvl*6/5	50	5	5	5				640	16000
Guided Arrow	22	ama	guided arrow	4	10												guidedarrow	guidedarrow	guidedarrow																																																																								11	18					guidedarrow	guidedarrow	guidedarrow										1	4		rng		miss										A1	A1	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1		1				1	6	32	32	1										blvl*5*(ulvl/10)	#ÈÌß?											0	Damage percent	50	damage % per level									1								8	128	15	50	15				25	65	20																										640	16000
Penetrate	23		penetrate																																											penetrate		item_tohit_percent	ln12																																																												1	1		rng		spea	miss											xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						0	8	0	0	1						1												35	add % to hit with missiles base	10	add % to hit with missiles/level													1								8																																				640	16000
Charged Strike	24	ama	charged strike	6	11												chargedstrikebolt	chargedstrikebolt	chargedstrikebolt																																																																									19					chargedstrikebolt	chargedstrikebolt	chargedstrikebolt										1	5		h2h		spea										A1	A1	xx				1		1	1								1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	6	16	21	1										par1+lvl/par2	# bolts							3	Bolts to send out	1	Additional bolts per N levels											10	damage synergy	1								8															ltng	1	0	0	0	0	0	30	12	16	20	24	28	lvl*5*ulvl*6/5								640	16000
Plague Javelin	25	ama	plague javelin	4										plaguejavelin	1																																																														amazon_cast_poison		1												11					plaguejavelin													1	3		rng		jave										TH	TH	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												100	1				1		1	7	14	28	1																																10	damage synergy	1	30	9						3	128														pois	10	6	12	20	40	60	16	6	12	20	40	60	lvl*5*ulvl*6/5	75	10	10	10				640	16000
Strafe	26	ama	strafe	8	12												strafearrowfrost	strafebolt							par5																																																				amazon_dodge_1					paladin_charge									13	20					multipleshotarrow	multipleshotbolt											1	0		rng		miss										A1	A1	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1		1				1	8	5	8											min(par3 + lvl - 1, par4)	#missiles	ln12	damage %	2+lvl/2	min # missiles			5	Damage increase	70	Damage increase per level	8	Base Shots to take (+1 per level)	20	Max shots to take	35	Radius	50	% frame rollback					1								8	128	8	32					11	42																			skpt*50								768	32000
Immolation Arrow	27		immolation arrow	4										immolationarrow																																																																													11					immolationarrow													1	6		rng		miss										A1	A1	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												25	1		1				1	7	12	20	1										par1	fire disc radius	8+blvl	damage radius					5	Fire disc radius	8	Radial Damage Radius											10	damage synergy	1	30	9						8	128														fire	12	12	23	34	36	38	23	12	23	34	36	38	lvl*5*ulvl*6/5								768	32000
Dopplezon	28		dopplezon		15																	dopplezon				fireresist	min(lvl*par7,85)	lightresist	min(lvl*par7,85)	coldresist	min(lvl*par7,85)	poisonresist	min(lvl*par7,85)																											dopplezon	dopplezon	1	NU												dopllezon_appear		amazon_valkyrie_cast																																1	4		none												SC	SC	xx					4												1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	6	12	76	1										lvl*par4	bonus hp%	ln12	duration	par3	%hp of caster			250	duration of decoy	125	duration per level	50	percent hitpoints of caster	10	hp % bonus per level					4	resistances			1								8																																				768	32000
Evade	29		evade																																											evade		passive_evade	dm12																												amazon_dodge_1																																1	0		h2h												S1	S1	xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						0	8	0	0	1						1												10	min % evade	65	max % evade													1								8																																				768	32000
Fend	30		fend	9	13																																																																									amazon_jab_1	1												14	21																	1	0		h2h		spea										A1	A1	xx	9		1			1	1								1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	8	5	5											12	max targets	ln34	damage %					3	additional target/level	60	% frame rollback	70	% damage percent	80	damage % per level									1	40	10						8	128																																			768	32000
Freezing Arrow	31	ama	freezing arrow	4										freezingarrow																																																																													11					freezingarrow													1	7		rng		miss										A1	A1	xx				1													1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1		1				1	7	18	18	1										8+ulvl*2	damage radius							5	Radius of impact											5	length synergy	0	damage synergy	1	40	9						8	128														cold	21	10	11	0	0	0	34	10	11	0	0	0	blvl*5*ulvl*6/5	50							896	64000
Valkyrie	32	ama	valkyrie		16																					firemindam	edmx/2	firemaxdam	ednmx/2	fireresist	min((lvl+skill('Dopplezon'.blvl))*par7,85)	lightresist	min((lvl+skill('Dopplezon'.blvl))*par7,85)	coldresist	min((lvl+skill('Dopplezon'.blvl))*par7,85)	poisonresist	min((lvl+skill('Dopplezon'.blvl))*par7,85)											item_armor_percent	par3 * (lvl - 1)	tohit	toht	damagepercent	blvl*100	velocitypercent	blvl*10					valkyrie	valkyrie	1	NU	dodge	skill('Dodge'.blvl)	avoid	skill('Avoid'.blvl)	Evade	skill('Evade'.blvl)	Critical Strike	skill('Critical Strike'.blvl)						amazon_valkyrie_cast																																1	6		none												SC	SC	xx					4												1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10												150							1	8	25	25	1	1									par1 * (lvl - 1) *(par8)+ ulvl	bonus hp%	ln56	itemlevel					20	% hitpoints more per level	25	str per level	10	% AC increase per level	12	dex per level	25	Magic Item level	20	Magic Item level per level	2	resistances	20	hp synergy	1			40*lvl*10*blvl					8															fire	5	25	35				15	35	45												896	64000
Pierce	33	ama	pierce																																											pierce		skill_pierce	dm12																																																												1	0		rng		miss												xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						0	8	0	0	1	1					1												10	min % chance	100	max % chance													1								8																																				896	64000
Lightning Strike	34		lightning strike	10	14												lightningstrike	lightningstrike	lightningstrike						par1																																																																			22					lightningstrike	lightningstrike	lightningstrike										1	8		h2h		spea										A1	A1	xx				1		1	1								1		1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	8	9	9	1										20	radius	ln34	hits					20	radius of jump to next target			4	Target hits	2	Target hits per level							8		1								8															ltng	1	0	0	0	0	0	25	10	15	20	25	30	lvl*5*ulvl*6/5								896	64000
Lightning Fury	35		lightning fury	4										lightningfury	1						42371				par3																																																																		11					lightningfury													1	8		rng		jave										TH	TH	xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	7	20	20	1										ln12	num targets							4	lightning spells from target	3	extra spells/level	20	Target search radius									1		1								8	128														ltng	1	0	0	0	0	0	40	20	30	40	50	50	lvl*5*ulvl*6/5								896	64000
Fire Bolt	36	sor	fire bolt		8												firebolt																																																												sorceress_cast_fire											fire_cast_1				17				firebolt	firebolt												1	2		none												SC	SC	xx																	1						sorceress_cast_fire		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	7	5	0	1										min(24,1+stat('blessing_fire'.accr)/2)	# fireblot																					16		1								7															fire	6	3	4	8	18	54	12	3	6	10	20	56	lvl*5*ulvl*6/5								256	1000
Warmth	37	sor	warmth																																											warmth		manarecoverybonus	ulvl*(1+blvl/3)+30	passive_fire_mastery	blvl-4+13+blvl-6+2*(blvl-3)-blvl	passive_ltng_mastery	(blvl-1*2+blvl*5)+1	passive_cold_mastery	(blvl-1*2+blvl*5)+1	passive_pois_mastery	(blvl-1*2+blvl*5)+1																																																				1	0		none												SC	SC	xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						0	8	0	0	1	1					1												30	increase in mana recovery	12	additional increase/level													1								8															fire																					256	1000
Charged Bolt	38		charged bolt		17												chargedbolt	chargedbolt	chargedbolt																																																										sorceress_cast_lightning											light_cast_1				23					chargedbolt												1	1		none												SC	SC	xx																	1						sorceress_cast_lightning		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	5	24	4	1										min(24,ln12)	# bolts							3	Bolts to send out	1	Additional bolts per level											6		1								7															ltng	4	8	10	2	3	4	8	10	11	2	3	4	lvl*5*ulvl*6/5								256	1000
Ice Bolt	39		ice bolt		8												icebolt																																																												sorceress_cast_cold											ice_cast_1				17				icebolt	icebolt												1	5		none												SC	SC	xx																	1						sorceress_cast_cold		(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	8	3	8	1										min(24,1+stat('blessing_fire'.accr)/2)	# iceblot																					15		1								7															cold	6	2	4	6	8	10	10	3	5	7	9	11	lvl*5*ulvl*6/5	150	35	35	35				256	1000
Frozen Armor	40	sor	frozen armor		18																	frozenarmor		ln34+(skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		skill_armor_percent	ln12											damagedinmelee	2																																						sorceress_cast_cold				sorceress_frozenarmor							ice_cast_1	frozenarmor_hit																				1	0		none												SC	SC	xx																	1						sorceress_cast_cold	ice_cast_1	(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10																			1	8	7	5	1	1									ln56*(100+((skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par8))/100	freeze length							30	% AC base	5	% AC per level	3000	Duration	300	Duration per level	30	Freeze Frames	3	Freeze Frames per level	250	duration synergy	5		1								8																																		1		256	1000
Inferno	41	sor	inferno											firestarfire																																																															sorceress_cast_fire											fire_cast_2								firestarfire													1	7		none												SC	SC	xx																	1								(lvl<1)?1:((lvl<2)?2:((lvl<3)?4:((lvl<4)?8:((lvl<5)?16:((lvl<6)?20:((lvl<7)?24:((lvl<8)?28:((lvl<9)?30:40))))))))	1	10													1						1	2	36	1	1																																13		1								8															fire	2	6	26	28	32	36	4	8	27	29	33	37	lvl*5*ulvl*6/5								384	3000
