Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Ice - Nightmare	100	3	271	1	2	67	150	merc01	merc41	7500	115	866	30	716	22	113	10	168	16	1109	36	2	24	26	6	118	5	bow		cold	25	Dodge	1	0	0	27	6	Freezing Arrow	4	50	0	28	10	Ice Arrow	4	50	0	48	18	Weaken	4	10	2	5	0	Blessed Aim	1	15	0	5	15	Avoid	1	0	0	27	6	2	1	2	0
Rogue Scout	Ice - Hell	100	5	271	1	3	67	150	merc01	merc41	14000	125	779	30	644	22	110	10	163	16	998	36	2	23	25	6	115	5	bow		cold	25	Dodge	1	0	0	27	6	Freezing Arrow	4	50	0	28	10	Ice Arrow	4	50	0	48	18	Weaken	4	10	2	5	0	Blessed Aim	1	15	0	5	15	Avoid	1	0	0	27	6	2	1	2	0
Rogue Scout	Comb - Normal	100	33	271	1	1	11	150	merc01	merc41	150	1	103	27	30	16	35	20	45	32	20	12	1	1	4	17	0	8	bow		comb	5	Fire Arrow	1	50	2	7	6	Immolation Arrow	4	70	2	7	10	Exploding Arrow	4	80	0	7	12	Inner Sight	4	10	2	5	0	Slow Missile	1	15	0	5	15	Evade	1	0	0	7	6	2	1	2	0
Rogue Scout	Comb - Normal	100	33	271	1	1	36	150	merc01	merc41	150	105	342	18	279	15	77	10	111	16	406	24	1	9	11	4	66	7	bow		comb	25	Dodge	1	0	0	20	6	Multiple Shot	4	67	4	28	18	Penetrate	1	0	0	25	15	Attract	4	10	2	5	0	Blessed Aim	1	15	0	5	15	Avoid	1	0	0	20	6	2	1	2	0
Rogue Scout	Comb - Normal	100	33	271	1	1	67	150	merc01	merc41	150	105	900	30	744	22	116	10	173	16	1150	36	2	25	27	6	121	5	bow		comb	25	Dodge	1	0	0	27	6	Multiple Shot	4	67	4	48	18	Penetrate	1	0	0	42	15	Attract	4	10	2	5	0	Blessed Aim	1	15	0	5	15	Avoid	1	0	0	27	6	2	1	2	0
Rogue Scout	Comb - Nightmare	100	34	271	1	2	36	150	merc01	merc41	7500	115	308	18	251	15	74	10	106	16	365	24	1	8	10	4	63	7	bow		comb	25	Dodge	1	0	0	20	6	Multiple Shot	4	69	4	28	18	Penetrate	1	0	0	25	15	Attract	4	10	2	5	0	Blessed Aim	1	15	0	5	15	Avoid	1	0	0	20	6	2	1	2	0
Rogue Scout	Comb - Nightmare	100	34	271	1	2	67	150	merc01	merc41	7500	115	866	30	716	22	113	10	168	16	1109	36	2	24	26	6	118	5	bow		comb	25	Dodge	1	0	0	27	6	Multiple Shot	4	69	4	48	18	Penetrate	1	0	0	42	15	Attract	4	10	2	5	0	Blessed Aim	1	15	0	5	15	Avoid	1	0	0	27	6	2	1	2	0
Rogue Scout	Comb - Hell	100	35	271	1	3	67	150	merc01	merc41	14000	125	779	30	644	22	110	10	163	16	998	36	2	23	25	6	115	5	bow		comb	25	Dodge	1	0	0	27	6	Multiple Shot	4	69	4	48	18	Penetrate	1	0	0	42	15	Attract	4	10	2	5	0	Blessed Aim	1	15	0	5	15	Avoid	1	0	0	27	6	2	1	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	1	7	14	4	18	8	pole	spea	comb	30	Jab	14	90	0	4	10	Prayer	1	10	0	2	8	Polearm Mastery	1	0	0	4	18	Critical Strike	1	0	0	4	18	Iron Skin	1	0	0	2	2							2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	3	24	31	6	86	7	pole	spea	comb	30	Jab	14	90	0	20	10	Prayer	1	10	0	2	8	Polearm Mastery	1	0	0	23	18	Critical Strike	1	0	0	23	18	Iron Skin	1	0	0	2	2							2	2	2	0
Desert Mercenary	Comb-Normal	100	6	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	comb	30	Jab	14	90	0	28	10	Prayer	1	10	0	2	8	Polearm Mastery	1	0	0	38	18	Critical Strike	1	0	0	38	18	Iron Skin	1	0	0	2	2							2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	43	198	merca201	merca221	7900	120	567	25	377	19	113	14	87	12	385	24	3	22	29	6	83	7	pole	spea	comb	30	Jab	14	90	0	20	10	Concentration	1	10	0	14	7	Polearm Mastery	1	0	0	23	18	Critical Strike	1	0	0	23	18	Iron Skin	1	0	0	3	3							2	2	2	0
Desert Mercenary	Comb-Nightmare	100	9	338	2	2	75	198	merca201	merca221	7900	120	1367	40	985	28	169	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	comb	30	Jab	14	90	0	28	10	Concentration	1	10	0	20	9	Polearm Mastery	1	0	0	38	18	Critical Strike	1	0	0	38	18	Iron Skin	1	0	0	3	3							2	2	2	0
Desert Mercenary	Comb-Hell	100	12	338	2	3	75	198	merca201	merca221	15000	130	1230	40	887	28	165	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	comb	30	Jab	14	90	0	28	10	Sanctuary	1	10	0	24	12	Polearm Mastery	1	0	0	38	18	Critical Strike	1	0	0	38	18	Iron Skin	1	0	0	4	4							2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	1	7	14	4	18	8	pole	spea	def	30	Jab	14	90	0	4	10	Vigor	1	10	0	6	1	Polearm Mastery	1	0	0	4	18	Critical Strike	1	0	0	4	18	Iron Skin	1	0	0	2	2							2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	3	24	31	6	86	7	pole	spea	def	30	Jab	14	90	0	20	10	Vigor	1	10	0	6	1	Polearm Mastery	1	0	0	23	18	Critical Strike	1	0	0	23	18	Iron Skin	1	0	0	2	2							2	2	2	0
Desert Mercenary	Def-Normal	100	7	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	def	30	Jab	14	90	0	28	10	Vigor	1	10	0	6	1	Polearm Mastery	1	0	0	38	18	Critical Strike	1	0	0	38	18	Iron Skin	1	0	0	2	2							2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	43	198	merca201	merca221	7900	120	567	25	377	19	113	14	87	12	385	24	3	22	29	6	83	7	pole	spea	def	30	Jab	14	90	0	20	10	Holy Freeze	1	10	0	14	7	Polearm Mastery	1	0	0	23	18	Critical Strike	1	0	0	23	18	Iron Skin	1	0	0	3	3							2	2	2	0
Desert Mercenary	Def-Nightmare	100	10	338	2	2	75	198	merca201	merca221	7900	120	1367	40	985	28	169	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	def	30	Jab	14	90	0	28	10	Holy Freeze	1	10	0	20	9	Polearm Mastery	1	0	0	38	18	Critical Strike	1	0	0	38	18	Iron Skin	1	0	0	3	3							2	2	2	0
Desert Mercenary	Def-Hell	100	13	338	2	3	75	198	merca201	merca221	15000	130	1230	40	887	28	165	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	def	30	Jab	14	90	0	28	10	Vigor	1	10	0	6	1	Polearm Mastery	1	0	0	38	18	Critical Strike	1	0	0	38	18	Iron Skin	1	0	0	4	4							2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	9	198	merca201	merca221	350	110	120	15	45	11	57	14	40	12	20	12	1	7	14	4	18	8	pole	spea	off	30	Jab	14	90	0	4	10	Blessed Aim	1	10	0	4	10	Polearm Mastery	1	0	0	4	18	Critical Strike	1	0	0	4	18	Iron Skin	1	0	0	2	2							2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	43	198	merca201	merca221	350	110	630	25	419	19	117	14	91	12	428	24	3	24	31	6	86	7	pole	spea	off	30	Jab	14	90	0	20	10	Blessed Aim	1	10	0	20	10	Polearm Mastery	1	0	0	23	18	Critical Strike	1	0	0	23	18	Iron Skin	1	0	0	2	2							2	2	2	0
Desert Mercenary	Off-Normal	100	8	338	2	1	75	198	merca201	merca221	350	110	1430	40	1027	28	173	14	139	12	1196	36	4	48	55	8	142	4	pole	spea	off	30	Jab	14	90	0	28	10	Blessed Aim	1	10	0	28	12	Polearm Mastery	1	0	0	38	18	Critical Strike	1	0	0	38	18	Iron Skin	1	0	0	2	2							2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	43	198	merca201	merca221	7900	120	567	25	377	19	113	14	87	12	385	24	3	22	29	6	83	7	pole	spea	off	30	Jab	14	90	0	20	10	Might	1	10	0	15	9	Polearm Mastery	1	0	0	23	18	Critical Strike	1	0	0	23	18	Iron Skin	1	0	0	3	3							2	2	2	0
Desert Mercenary	Off-Nightmare	100	11	338	2	2	75	198	merca201	merca221	7900	120	1367	40	985	28	169	14	135	12	1153	36	4	46	53	8	139	4	pole	spea	off	30	Jab	14	90	0	28	10	Might	1	10	0	22	11	Polearm Mastery	1	0	0	38	18	Critical Strike	1	0	0	38	18	Iron Skin	1	0	0	3	3							2	2	2	0
Desert Mercenary	Off-Hell	100	14	338	2	3	75	198	merca201	merca221	15000	130	1230	40	887	28	165	14	131	12	1038	36	4	44	51	8	136	4	pole	spea	off	30	Jab	14	90	0	28	10	Fanaticism	1	10	0	10	12	Polearm Mastery	1	0	0	38	18	Critical Strike	1	0	0	38	18	Iron Skin	1	0	0	4	4							2	2	2	0
Eastern Sorceror	Fire-Normal	100	15	359	3	1	15	252	merca222	merca241	1000	110	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	fire	0	Meteor	7	30	0	5	9	Fire Ball	7	30	0	5	12	Hydra	7	30	0	5	13	Fire Mastery	1	0	0	16	6	Resist Fire	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	49	252	merca222	merca241	1000	110	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	fire	0	Meteor	7	30	0	16	9	Fire Ball	7	30	0	19	12	Hydra	7	30	0	21	11	Fire Mastery	1	0	0	16	6	Resist Fire	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Fire-Normal	100	15	359	3	1	79	252	merca222	merca241	1000	110	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	6	swor	shie	fire	0	Meteor	7	30	0	26	13	Fire Ball	7	30	0	32	12	Hydra	7	30	0	33	13	Fire Mastery	1	0	0	16	6	Resist Fire	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	49	252	merca222	merca241	9500	120	419	18	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	fire	0	Meteor	7	30	0	16	9	Fire Ball	7	30	0	19	12	Hydra	7	30	0	21	11	Fire Mastery	1	0	0	16	6	Resist Fire	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Fire-Nightmare	100	18	359	3	2	79	252	merca222	merca241	9500	120	959	27	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	fire	0	Meteor	7	30	0	26	13	Fire Ball	7	30	0	32	12	Hydra	7	30	0	33	13	Fire Mastery	1	0	0	16	6	Resist Fire	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Fire-Hell	100	21	359	3	3	79	252	merca222	merca241	21000	130	863	27	554	25	122	10	96	8	991	36	5	29	35	4	132	4	swor	shie	fire	0	Meteor	7	30	0	26	13	Fire Ball	7	30	0	32	12	Hydra	7	30	0	33	13	Fire Mastery	1	0	0	16	6	Resist Fire	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	15	252	merca222	merca241	1500	120	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	cold	0	Glacial Spike	7	30	0	4	10	Chilling Armor	7	10	0	3	12	Cold Mastery	1	0	0	35	15	Frozen Orb	7	30	0	4	10	Resist Cold	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	49	252	merca222	merca241	1500	120	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	cold	0	Glacial Spike	7	30	0	16	10	Chilling Armor	7	10	0	17	12	Cold Mastery	1	0	0	35	15	Frozen Orb	7	30	0	16	10	Resist Cold	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Cold-Normal	100	16	359	3	1	79	252	merca222	merca241	1500	120	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	cold	0	Glacial Spike	7	30	0	27	14	Chilling Armor	7	10	0	31	12	Cold Mastery	1	0	0	35	15	Frozen Orb	7	30	0	27	10	Resist Cold	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	49	252	merca222	merca241	12000	130	419	18	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	cold	0	Glacial Spike	7	30	0	16	10	Chilling Armor	7	10	0	17	12	Cold Mastery	1	0	0	35	15	Frozen Orb	7	30	0	16	10	Resist Cold	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Cold-Nightmare	100	19	359	3	2	79	252	merca222	merca241	12000	130	959	27	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	cold	0	Glacial Spike	7	30	0	27	14	Chilling Armor	7	10	0	31	12	Cold Mastery	1	0	0	35	15	Frozen Orb	7	30	0	27	10	Resist Cold	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Cold-Hell	100	22	359	3	3	79	252	merca222	merca241	27000	140	863	27	554	25	122	10	96	8	991	36	5	29	35	4	132	4	swor	shie	cold	0	Glacial Spike	7	30	0	27	14	Chilling Armor	7	10	0	31	12	Cold Mastery	1	0	0	35	15	Frozen Orb	7	30	0	27	10	Resist Cold	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	15	252	merca222	merca241	1000	110	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	ltng	0	Lightning Mastery	1	0	0	22	20	Lightning	7	30	0	4	12	Chain Lightning	7	30	0	4	12	Static Field	7	30	0	4	11	Resist Lightning	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	49	252	merca222	merca241	1000	110	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	ltng	0	Lightning Mastery	1	0	0	22	20	Lightning	7	30	0	18	10	Chain Lightning	7	30	0	18	10	Static Field	7	30	0	17	11	Resist Lightning	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Ltng-Normal	100	17	359	3	1	79	252	merca222	merca241	1000	110	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	ltng	0	Lightning Mastery	1	0	0	22	20	Lightning	7	30	0	29	14	Chain Lightning	7	30	0	29	14	Static Field	7	30	0	29	11	Resist Lightning	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	49	252	merca222	merca241	10000	120	419	18	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	ltng	0	Lightning Mastery	1	0	0	22	20	Lightning	7	30	0	18	10	Chain Lightning	7	30	0	18	10	Static Field	7	30	0	17	11	Resist Lightning	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Ltng-Nightmare	100	20	359	3	2	79	252	merca222	merca241	10000	120	959	27	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	ltng	0	Lightning Mastery	1	0	0	22	20	Lightning	7	30	0	29	14	Chain Lightning	7	30	0	29	14	Static Field	7	30	0	29	11	Resist Lightning	1	15	0	2	2							2	2	2	1
Eastern Sorceror	Ltng-Hell	100	23	359	3	3	79	252	merca222	merca241	21000	130	863	27	554	25	122	10	96	8	991	36	5	29	36	4	132	4	swor	shie	ltng	0	Lightning Mastery	1	0	0	22	20	Lightning	7	30	0	29	14	Chain Lightning	7	30	0	29	14	Static Field	7	30	0	29	11	Resist Lightning	1	15	0	2	2							2	2	2	1
Eastern Sorceror	bnmg-Normal	100	36	359	3	1	15	252	merca222	merca241	1000	110	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	farw	0	Bone Spear	7	12	0	7	12	Bone Spirit	7	30	0	5	13	Bone Armor	7	10	0	3	12	Cleansing	1	15	0	2	2													2	2	2	1
Eastern Sorceror	bnmg-Normal	100	36	359	3	1	49	252	merca222	merca241	1000	110	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	farw	0	Bone Spear	7	12	0	21	12	Bone Spirit	7	30	0	21	13	Bone Armor	7	10	0	17	12	Cleansing	1	15	0	2	2													2	2	2	1
Eastern Sorceror	bnmg-Normal	100	36	359	3	1	79	252	merca222	merca241	1000	110	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	farw	0	Bone Spear	7	12	0	35	12	Bone Spirit	7	30	0	35	13	Bone Armor	7	10	0	31	12	Cleansing	1	15	0	2	2													2	2	2	1
Eastern Sorceror	bnmg-Nightmare	100	37	359	3	2	49	252	merca222	merca241	10000	120	419	18	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	farw	0	Bone Spear	7	12	0	21	12	Bone Spirit	7	30	0	21	13	Bone Armor	7	10	0	17	12	Cleansing	1	15	0	2	2													2	2	2	1
Eastern Sorceror	bnmg-Nightmare	100	37	359	3	2	79	252	merca222	merca241	10000	120	959	27	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	farw	0	Bone Spear	7	12	0	35	12	Bone Spirit	7	30	0	35	13	Bone Armor	7	10	0	31	12	Cleansing	1	15	0	2	2													2	2	2	1
Eastern Sorceror	bnmg-Hell	100	38	359	3	3	79	252	merca222	merca241	21000	130	863	27	554	25	122	10	96	8	991	36	5	29	36	4	132	4	swor	shie	farw	0	Bone Spear	7	12	0	35	12	Bone Spirit	7	30	0	35	13	Bone Armor	7	10	0	31	12	Cleansing	1	15	0	2	2													2	2	2	1
Eastern Sorceror	elem-Normal	100	42	359	3	1	15	252	merca222	merca241	1000	110	160	9	80	5	49	10	40	8	15	12		1	7	4	25	7	swor	shie	carw	0	Armageddon	7	12	0	7	12	Tornado	7	30	0	5	13	Cyclone Armor	7	10	0	3	12	Hurricane	7	10	0	3	12													2	2	2	1
Eastern Sorceror	elem-Normal	100	42	359	3	1	49	252	merca222	merca241	1000	110	466	18	250	13	92	10	74	8	423	24	3	18	24	4	85	7	swor	shie	carw	0	Armageddon	7	12	0	21	12	Tornado	7	30	0	21	13	Cyclone Armor	7	10	0	17	12	Hurricane	7	10	0	17	12													2	2	2	1
Eastern Sorceror	elem-Normal	100	42	359	3	1	79	252	merca222	merca241	1000	110	1006	27	640	25	130	10	104	8	1143	36	5	33	39	4	138	4	swor	shie	carw	0	Armageddon	7	12	0	35	12	Tornado	7	30	0	35	13	Cyclone Armor	7	10	0	31	12	Hurricane	7	10	0	31	12													2	2	2	1
Eastern Sorceror	elem-Nightmare	100	43	359	3	2	49	252	merca222	merca241	10000	120	419	18	225	13	88	10	70	8	381	24	3	16	22	4	82	7	swor	shie	carw	0	Armageddon	7	12	0	21	12	Tornado	7	30	0	21	13	Cyclone Armor	7	10	0	17	12	Hurricane	7	10	0	17	12													2	2	2	1
Eastern Sorceror	elem-Nightmare	100	43	359	3	2	79	252	merca222	merca241	10000	120	959	27	615	25	126	10	100	8	1101	36	5	31	37	4	135	4	swor	shie	carw	0	Armageddon	7	12	0	35	12	Tornado	7	30	0	35	13	Cyclone Armor	7	10	0	31	12	Hurricane	7	10	0	31	12													2	2	2	1
Eastern Sorceror	elem-Hell	100	44	359	3	3	79	252	merca222	merca241	21000	130	863	27	554	25	122	10	96	8	991	36	5	29	36	4	132	4	swor	shie	carw	0	Armageddon	7	12	0	35	12	Tornado	7	30	0	35	13	Cyclone Armor	7	10	0	31	12	Hurricane	7	10	0	31	12													2	2	2	1
Barbarian	1hs-Normal	100	24	561	5	1	28	515	MercX101	MercX167	9000	120	288	18	180	10	101	15	63	10	150	20	1	16	20	6	56	7	swor		comb	0	Bash	5	50	0	5	12	Concentrate	5	15	0	4	12	Battle Cry	5	10	0	4	15	BarBear	5	5	0	8	10	Sword Mastery	1	0	0	4	18	Barbs Aura	7	10	0	4	2	0	0	0	0
Barbarian	1hs-Normal	100	24	561	5	1	58	515	MercX101	MercX167	9000	120	828	27	480	35	158	15	101	10	750	35	1	39	43	8	109	7	swor		comb	0	Bash	5	50	0	18	8	Concentrate	5	50	0	17	12	Battle Cry	5	10	0	20	15	BarBear	5	5	0	16	10	Sword Mastery	1	0	0	23	18	Barbs Aura	7	10	0	7	2	0	0	0	0
Barbarian	1hs-Normal	100	24	561	5	1	80	515	MercX101	MercX167	9000	120	1422	45	1250	50	200	15	129	10	1520	45	1	61	65	8	148	4	swor		comb	0	Bash	5	50	0	24	8	Concentrate	5	75	0	27	12	Battle Cry	5	10	0	33	15	BarBear	5	5	0	24	10	Sword Mastery	1	0	0	38	18	Barbs Aura	7	10	0	15	2	0	0	0	0
Barbarian	1hs-Nightmare	100	26	561	5	2	58	515	MercX101	MercX167	18000	130	745	27	432	35	155	15	96	10	675	35	4	37	41	8	106	7	swor		comb	0	Bash	5	50	0	18	8	Concentrate	5	50	0	17	12	Battle Cry	5	10	0	20	15	BarBear	5	5	0	16	10	Sword Mastery	1	0	0	23	18	Barbs Aura	7	10	0	15	2	0	0	0	0
Barbarian	1hs-Nightmare	100	26	561	5	2	80	515	MercX101	MercX167	18000	130	1339	45	1202	50	197	15	124	10	1445	45	4	59	63	8	145	4	swor		comb	0	Bash	5	50	0	24	8	Concentrate	5	50	0	27	12	Battle Cry	5	10	0	33	15	BarBear	5	5	0	20	10	Sword Mastery	1	0	0	38	18	Barbs Aura	7	10	0	18	2	0	0	0	0
Barbarian	1hs-Hell	100	28	561	5	3	80	515	MercX101	MercX167	32000	140	1205	45	1082	50	194	15	119	10	1301	45	6	57	61	8	142	4	swor		comb	0	Bash	5	50	0	24	8	Concentrate	5	50	0	27	12	Battle Cry	5	10	0	33	15	BarBear	5	5	0	20	10	Sword Mastery	1	0	0	38	18	Barbs Aura	7	10	0	18	2	0	0	0	0
