Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
72	29566422	29566422	29566422	29566422	29566422	29566422	29566422	32768
73	31242748	31242748	31242748	31242748	31242748	31242748	31242748	32768
74	32989387	32989387	32989387	32989387	32989387	32989387	32989387	32768
75	34808279	34808279	34808279	34808279	34808279	34808279	34808279	32768
76	36701390	36701390	36701390	36701390	36701390	36701390	36701390	32768
77	38670711	38670711	38670711	38670711	38670711	38670711	38670711	32768
78	40718263	40718263	40718263	40718263	40718263	40718263	40718263	32768
79	42846089	42846089	42846089	42846089	42846089	42846089	42846089	32768
80	45056261	45056261	45056261	45056261	45056261	45056261	45056261	32768
81	47350877	47350877	47350877	47350877	47350877	47350877	47350877	32768
82	49732062	49732062	49732062	49732062	49732062	49732062	49732062	32768
83	52201965	52201965	52201965	52201965	52201965	52201965	52201965	32768
84	54762764	54762764	54762764	54762764	54762764	54762764	54762764	32768
85	57416663	57416663	57416663	57416663	57416663	57416663	57416663	32768
86	60165890	60165890	60165890	60165890	60165890	60165890	60165890	32768
87	63012703	63012703	63012703	63012703	63012703	63012703	63012703	32768
88	65959384	65959384	65959384	65959384	65959384	65959384	65959384	32768
89	69008241	69008241	69008241	69008241	69008241	69008241	69008241	32768
90	72161610	72161610	72161610	72161610	72161610	72161610	72161610	32768
91	75421854	75421854	75421854	75421854	75421854	75421854	75421854	32768
92	78791359	78791359	78791359	78791359	78791359	78791359	78791359	32768
93	82272540	82272540	82272540	82272540	82272540	82272540	82272540	32768
94	85867838	85867838	85867838	85867838	85867838	85867838	85867838	32768
95	89579722	89579722	89579722	89579722	89579722	89579722	89579722	32768
96	93410683	93410683	93410683	93410683	93410683	93410683	93410683	32768
97	97363243	97363243	97363243	97363243	97363243	97363243	97363243	32768
98	101439947	101439947	101439947	101439947	101439947	101439947	101439947	32768
99	105643368	105643368	105643368	105643368	105643368	105643368	105643368	32768
100	109976107	109976107	109976107	109976107	109976107	109976107	109976107	32768
101	114440788	114440788	114440788	114440788	114440788	114440788	114440788	32549
102	119040063	119040063	119040063	119040063	119040063	119040063	119040063	32331
103	123776610	123776610	123776610	123776610	123776610	123776610	123776610	32112
104	128653135	128653135	128653135	128653135	128653135	128653135	128653135	31894
105	133672369	133672369	133672369	133672369	133672369	133672369	133672369	31675
106	138837068	138837068	138837068	138837068	138837068	138837068	138837068	31457
107	144150018	144150018	144150018	144150018	144150018	144150018	144150018	31238
108	149614028	149614028	149614028	149614028	149614028	149614028	149614028	31020
109	155231934	155231934	155231934	155231934	155231934	155231934	155231934	30801
110	161006601	161006601	161006601	161006601	161006601	161006601	161006601	30583
111	166940918	166940918	166940918	166940918	166940918	166940918	166940918	30365
112	173037800	173037800	173037800	173037800	173037800	173037800	173037800	30146
113	179300189	179300189	179300189	179300189	179300189	179300189	179300189	29928
114	185731055	185731055	185731055	185731055	185731055	185731055	185731055	29709
115	192333392	192333392	192333392	192333392	192333392	192333392	192333392	29491
116	199110222	199110222	199110222	199110222	199110222	199110222	199110222	29272
117	206064592	206064592	206064592	206064592	206064592	206064592	206064592	29054
118	213199577	213199577	213199577	213199577	213199577	213199577	213199577	28835
119	220518277	220518277	220518277	220518277	220518277	220518277	220518277	28617
120	228023820	228023820	228023820	228023820	228023820	228023820	228023820	28398
121	235719358	235719358	235719358	235719358	235719358	235719358	235719358	28180
122	243608071	243608071	243608071	243608071	243608071	243608071	243608071	27962
123	251693166	251693166	251693166	251693166	251693166	251693166	251693166	27743
124	259977874	259977874	259977874	259977874	259977874	259977874	259977874	27525
125	268465455	268465455	268465455	268465455	268465455	268465455	268465455	27306
126	277159195	277159195	277159195	277159195	277159195	277159195	277159195	27088
127	286062404	286062404	286062404	286062404	286062404	286062404	286062404	26869
128	295178421	295178421	295178421	295178421	295178421	295178421	295178421	26651
129	304510610	304510610	304510610	304510610	304510610	304510610	304510610	26432
130	314062362	314062362	314062362	314062362	314062362	314062362	314062362	26214
131	323837095	323837095	323837095	323837095	323837095	323837095	323837095	25995
132	333838251	333838251	333838251	333838251	333838251	333838251	333838251	25777
133	344069301	344069301	344069301	344069301	344069301	344069301	344069301	25559
134	354533742	354533742	354533742	354533742	354533742	354533742	354533742	25340
135	365235095	365235095	365235095	365235095	365235095	365235095	365235095	25122
136	376176911	376176911	376176911	376176911	376176911	376176911	376176911	24903
137	387362764	387362764	387362764	387362764	387362764	387362764	387362764	24685
138	398796257	398796257	398796257	398796257	398796257	398796257	398796257	24466
139	410481018	410481018	410481018	410481018	410481018	410481018	410481018	24248
140	422420702	422420702	422420702	422420702	422420702	422420702	422420702	24029
141	434618989	434618989	434618989	434618989	434618989	434618989	434618989	23811
142	447079588	447079588	447079588	447079588	447079588	447079588	447079588	23592
143	459806231	459806231	459806231	459806231	459806231	459806231	459806231	23374
144	472802680	472802680	472802680	472802680	472802680	472802680	472802680	23156
145	486072721	486072721	486072721	486072721	486072721	486072721	486072721	22937
146	499620167	499620167	499620167	499620167	499620167	499620167	499620167	22719
147	513448857	513448857	513448857	513448857	513448857	513448857	513448857	22500
148	527562658	527562658	527562658	527562658	527562658	527562658	527562658	22282
149	541965460	541965460	541965460	541965460	541965460	541965460	541965460	22063
150	556661184	556661184	556661184	556661184	556661184	556661184	556661184	21845
151	571653774	571653774	571653774	571653774	571653774	571653774	571653774	21626
152	586947201	586947201	586947201	586947201	586947201	586947201	586947201	21408
153	602545463	602545463	602545463	602545463	602545463	602545463	602545463	21189
154	618452584	618452584	618452584	618452584	618452584	618452584	618452584	20971
155	634672615	634672615	634672615	634672615	634672615	634672615	634672615	20753
156	651209632	651209632	651209632	651209632	651209632	651209632	651209632	20534
157	668067739	668067739	668067739	668067739	668067739	668067739	668067739	20316
158	685251066	685251066	685251066	685251066	685251066	685251066	685251066	20097
159	702763768	702763768	702763768	702763768	702763768	702763768	702763768	19879
160	720610028	720610028	720610028	720610028	720610028	720610028	720610028	19660
161	738794055	738794055	738794055	738794055	738794055	738794055	738794055	19442
162	757320083	757320083	757320083	757320083	757320083	757320083	757320083	19223
163	776192376	776192376	776192376	776192376	776192376	776192376	776192376	19005
164	795415220	795415220	795415220	795415220	795415220	795415220	795415220	18786
165	814992930	814992930	814992930	814992930	814992930	814992930	814992930	18568
166	834929847	834929847	834929847	834929847	834929847	834929847	834929847	18350
167	855230338	855230338	855230338	855230338	855230338	855230338	855230338	18131
168	875898796	875898796	875898796	875898796	875898796	875898796	875898796	17913
169	896939641	896939641	896939641	896939641	896939641	896939641	896939641	17694
170	918357321	918357321	918357321	918357321	918357321	918357321	918357321	17476
171	940156306	940156306	940156306	940156306	940156306	940156306	940156306	17257
172	962341098	962341098	962341098	962341098	962341098	962341098	962341098	17039
173	984916220	984916220	984916220	984916220	984916220	984916220	984916220	16820
174	1007886225	1007886225	1007886225	1007886225	1007886225	1007886225	1007886225	16602
175	1031255691	1031255691	1031255691	1031255691	1031255691	1031255691	1031255691	16384
176	1055029222	1055029222	1055029222	1055029222	1055029222	1055029222	1055029222	16165
177	1079211451	1079211451	1079211451	1079211451	1079211451	1079211451	1079211451	15947
178	1103807033	1103807033	1103807033	1103807033	1103807033	1103807033	1103807033	15728
179	1128820654	1128820654	1128820654	1128820654	1128820654	1128820654	1128820654	15510
180	1154257022	1154257022	1154257022	1154257022	1154257022	1154257022	1154257022	15291
181	1180120875	1180120875	1180120875	1180120875	1180120875	1180120875	1180120875	15073
182	1206416976	1206416976	1206416976	1206416976	1206416976	1206416976	1206416976	14854
183	1233150114	1233150114	1233150114	1233150114	1233150114	1233150114	1233150114	14636
184	1260325105	1260325105	1260325105	1260325105	1260325105	1260325105	1260325105	14417
185	1287946790	1287946790	1287946790	1287946790	1287946790	1287946790	1287946790	14199
186	1316020039	1316020039	1316020039	1316020039	1316020039	1316020039	1316020039	13981
187	1344549746	1344549746	1344549746	1344549746	1344549746	1344549746	1344549746	13762
188	1373540832	1373540832	1373540832	1373540832	1373540832	1373540832	1373540832	13544
189	1402998245	1402998245	1402998245	1402998245	1402998245	1402998245	1402998245	13325
190	1432926960	1432926960	1432926960	1432926960	1432926960	1432926960	1432926960	13107
191	1463331977	1463331977	1463331977	1463331977	1463331977	1463331977	1463331977	12888
192	1494218322	1494218322	1494218322	1494218322	1494218322	1494218322	1494218322	12670
193	1525591048	1525591048	1525591048	1525591048	1525591048	1525591048	1525591048	12451
194	1557455236	1557455236	1557455236	1557455236	1557455236	1557455236	1557455236	12233
195	1589815991	1589815991	1589815991	1589815991	1589815991	1589815991	1589815991	12014
196	1622678446	1622678446	1622678446	1622678446	1622678446	1622678446	1622678446	11796
197	1656047759	1656047759	1656047759	1656047759	1656047759	1656047759	1656047759	11578
198	1689929116	1689929116	1689929116	1689929116	1689929116	1689929116	1689929116	11359
199	1724327727	1724327727	1724327727	1724327727	1724327727	1724327727	1724327727	11141
200	1759248832	1759248832	1759248832	1759248832	1759248832	1759248832	1759248832	10922
201	1794697694	1794697694	1794697694	1794697694	1794697694	1794697694	1794697694	10704
202	1830679604	1830679604	1830679604	1830679604	1830679604	1830679604	1830679604	10485
203	1867199879	1867199879	1867199879	1867199879	1867199879	1867199879	1867199879	10267
204	1904263863	1904263863	1904263863	1904263863	1904263863	1904263863	1904263863	10048
205	1941876925	1941876925	1941876925	1941876925	1941876925	1941876925	1941876925	9830
206	1980044461	1980044461	1980044461	1980044461	1980044461	1980044461	1980044461	9611
207	2018771895	2018771895	2018771895	2018771895	2018771895	2018771895	2018771895	9393
208	2058064675	2058064675	2058064675	2058064675	2058064675	2058064675	2058064675	9175
209	2097928277	2097928277	2097928277	2097928277	2097928277	2097928277	2097928277	8956
210	2138368202	2138368202	2138368202	2138368202	2138368202	2138368202	2138368202	8738
211	2179389979	2179389979	2179389979	2179389979	2179389979	2179389979	2179389979	8519
212	2220999162	2220999162	2220999162	2220999162	2220999162	2220999162	2220999162	8301
213	2263201332	2263201332	2263201332	2263201332	2263201332	2263201332	2263201332	8082
214	2306002097	2306002097	2306002097	2306002097	2306002097	2306002097	2306002097	7864
215	2349407089	2349407089	2349407089	2349407089	2349407089	2349407089	2349407089	7645
216	2393421970	2393421970	2393421970	2393421970	2393421970	2393421970	2393421970	7427
217	2438052426	2438052426	2438052426	2438052426	2438052426	2438052426	2438052426	7208
218	2483304170	2483304170	2483304170	2483304170	2483304170	2483304170	2483304170	6990
219	2529182940	2529182940	2529182940	2529182940	2529182940	2529182940	2529182940	6772
220	2575694503	2575694503	2575694503	2575694503	2575694503	2575694503	2575694503	6553
221	2622844650	2622844650	2622844650	2622844650	2622844650	2622844650	2622844650	6335
222	2670639201	2670639201	2670639201	2670639201	2670639201	2670639201	2670639201	6116
223	2719083999	2719083999	2719083999	2719083999	2719083999	2719083999	2719083999	5898
224	2768184916	2768184916	2768184916	2768184916	2768184916	2768184916	2768184916	5679
225	2817947850	2817947850	2817947850	2817947850	2817947850	2817947850	2817947850	5461
226	2868378725	2868378725	2868378725	2868378725	2868378725	2868378725	2868378725	5242
227	2919483490	2919483490	2919483490	2919483490	2919483490	2919483490	2919483490	5024
228	2971268124	2971268124	2971268124	2971268124	2971268124	2971268124	2971268124	4805
229	3023738628	3023738628	3023738628	3023738628	3023738628	3023738628	3023738628	4587
230	3076901032	3076901032	3076901032	3076901032	3076901032	3076901032	3076901032	4369
231	3130761392	3130761392	3130761392	3130761392	3130761392	3130761392	3130761392	4150
232	3185325791	3185325791	3185325791	3185325791	3185325791	3185325791	3185325791	3932
233	3240600338	3240600338	3240600338	3240600338	3240600338	3240600338	3240600338	3713
234	3296591166	3296591166	3296591166	3296591166	3296591166	3296591166	3296591166	3495
235	3353304438	3353304438	3353304438	3353304438	3353304438	3353304438	3353304438	3276
236	3410746342	3410746342	3410746342	3410746342	3410746342	3410746342	3410746342	3058
237	3468923092	3468923092	3468923092	3468923092	3468923092	3468923092	3468923092	2839
238	3527840928	3527840928	3527840928	3527840928	3527840928	3527840928	3527840928	2621
239	3587506117	3587506117	3587506117	3587506117	3587506117	3587506117	3587506117	2402
240	3647924953	3647924953	3647924953	3647924953	3647924953	3647924953	3647924953	2184
241	3709103756	3709103756	3709103756	3709103756	3709103756	3709103756	3709103756	1966
242	3771048871	3771048871	3771048871	3771048871	3771048871	3771048871	3771048871	1747
243	3833766671	3833766671	3833766671	3833766671	3833766671	3833766671	3833766671	1529
244	3897263556	3897263556	3897263556	3897263556	3897263556	3897263556	3897263556	1310
245	3961545950	3961545950	3961545950	3961545950	3961545950	3961545950	3961545950	1092
246	4026620305	4026620305	4026620305	4026620305	4026620305	4026620305	4026620305	873
247	4092493099	4092493099	4092493099	4092493099	4092493099	4092493099	4092493099	655
248	4159170837	4159170837	4159170837	4159170837	4159170837	4159170837	4159170837	436
249	4226660050	4226660050	4226660050	4226660050	4226660050	4226660050	4226660050	218
250	4294967295	4294967295	4294967295	4294967295	4294967295	4294967295	4294967295	1
