Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
142	852	1523	2159	852	1668	2404	1376	2316	4650	1376	2316	4650	1335	3280	7037	1335	3280	9272	100	122	190	100	122	190	12248	145936	460305	12248	145936	460305
143	858	1533	2171	858	1676	2414	1382	2324	4660	1382	2324	4660	1341	3288	7047	1341	3288	9282	101	123	192	101	123	192	12363	146972	461555	12363	146972	461555
144	864	1543	2183	864	1684	2424	1388	2332	4670	1388	2332	4670	1347	3296	7057	1347	3296	9292	102	124	194	102	124	194	12478	148008	462805	12478	148008	462805
145	870	1553	2195	870	1692	2434	1394	2340	4680	1394	2340	4680	1353	3304	7067	1353	3304	9302	103	125	196	103	125	196	12593	149044	464055	12593	149044	464055
146	876	1563	2207	876	1700	2444	1400	2348	4690	1400	2348	4690	1359	3312	7077	1359	3312	9312	104	126	198	104	126	198	12708	150080	465305	12708	150080	465305
147	882	1573	2219	882	1708	2454	1406	2356	4700	1406	2356	4700	1365	3320	7087	1365	3320	9322	105	127	200	105	127	200	12823	151116	466555	12823	151116	466555
148	888	1583	2231	888	1716	2464	1412	2364	4710	1412	2364	4710	1371	3328	7097	1371	3328	9332	106	128	202	106	128	202	12938	152152	467805	12938	152152	467805
149	894	1593	2243	894	1724	2474	1418	2372	4720	1418	2372	4720	1377	3336	7107	1377	3336	9342	107	129	204	107	129	204	13053	153188	469055	13053	153188	469055
150	900	1603	2255	900	1732	2484	1424	2380	4730	1424	2380	4730	1383	3344	7117	1383	3344	9352	108	130	206	108	130	206	13168	154224	470305	13168	154224	470305
151	906	1613	2267	906	1740	2494	1430	2388	4740	1430	2388	4740	1389	3352	7127	1389	3352	9362	109	131	208	109	131	208	13283	155260	471555	13283	155260	471555
152	912	1623	2279	912	1748	2504	1436	2396	4750	1436	2396	4750	1395	3360	7137	1395	3360	9372	110	132	210	110	132	210	13398	156296	472805	13398	156296	472805
153	918	1633	2291	918	1756	2514	1442	2404	4760	1442	2404	4760	1401	3368	7147	1401	3368	9382	111	133	212	111	133	212	13513	157332	474055	13513	157332	474055
154	924	1643	2303	924	1764	2524	1448	2412	4770	1448	2412	4770	1407	3376	7157	1407	3376	9392	112	134	214	112	134	214	13628	158368	475305	13628	158368	475305
155	930	1653	2315	930	1772	2534	1454	2420	4780	1454	2420	4780	1413	3384	7167	1413	3384	9402	113	135	216	113	135	216	13743	159404	476555	13743	159404	476555
156	936	1663	2327	936	1780	2544	1460	2428	4790	1460	2428	4790	1419	3392	7177	1419	3392	9412	114	136	218	114	136	218	13858	160440	477805	13858	160440	477805
157	942	1673	2339	942	1788	2554	1466	2436	4800	1466	2436	4800	1425	3400	7187	1425	3400	9422	115	137	220	115	137	220	13973	161476	479055	13973	161476	479055
158	948	1683	2351	948	1796	2564	1472	2444	4810	1472	2444	4810	1431	3408	7197	1431	3408	9432	116	138	222	116	138	222	14088	162512	480305	14088	162512	480305
159	954	1693	2363	954	1804	2574	1478	2452	4820	1478	2452	4820	1437	3416	7207	1437	3416	9442	117	139	224	117	139	224	14203	163548	481555	14203	163548	481555
160	960	1703	2375	960	1812	2584	1484	2460	4830	1484	2460	4830	1443	3424	7217	1443	3424	9452	118	140	226	118	140	226	14318	164584	482805	14318	164584	482805
161	966	1713	2387	966	1820	2594	1490	2468	4840	1490	2468	4840	1449	3432	7227	1449	3432	9462	119	141	228	119	141	228	14433	165620	484055	14433	165620	484055
162	972	1723	2399	972	1828	2604	1496	2476	4850	1496	2476	4850	1455	3440	7237	1455	3440	9472	120	142	230	120	142	230	14548	166656	485305	14548	166656	485305
163	978	1733	2411	978	1836	2614	1502	2484	4860	1502	2484	4860	1461	3448	7247	1461	3448	9482	121	143	232	121	143	232	14663	167692	486555	14663	167692	486555
164	984	1743	2423	984	1844	2624	1508	2492	4870	1508	2492	4870	1467	3456	7257	1467	3456	9492	122	144	234	122	144	234	14778	168728	487805	14778	168728	487805
165	990	1753	2435	990	1852	2634	1514	2500	4880	1514	2500	4880	1473	3464	7267	1473	3464	9502	123	145	236	123	145	236	14893	169764	489055	14893	169764	489055
166	996	1763	2447	996	1860	2644	1520	2508	4890	1520	2508	4890	1479	3472	7277	1479	3472	9512	124	146	238	124	146	238	15008	170800	490305	15008	170800	490305
167	1002	1773	2459	1002	1868	2654	1526	2516	4900	1526	2516	4900	1485	3480	7287	1485	3480	9522	125	147	240	125	147	240	15123	171836	491555	15123	171836	491555
168	1008	1783	2471	1008	1876	2664	1532	2524	4910	1532	2524	4910	1491	3488	7297	1491	3488	9532	126	148	242	126	148	242	15238	172872	492805	15238	172872	492805
169	1014	1793	2483	1014	1884	2674	1538	2532	4920	1538	2532	4920	1497	3496	7307	1497	3496	9542	127	149	244	127	149	244	15353	173908	494055	15353	173908	494055
170	1020	1803	2495	1020	1892	2684	1544	2540	4930	1544	2540	4930	1503	3504	7317	1503	3504	9552	128	150	246	128	150	246	15468	174944	495305	15468	174944	495305
171	1026	1813	2507	1026	1900	2694	1550	2548	4940	1550	2548	4940	1509	3512	7327	1509	3512	9562	129	151	248	129	151	248	15583	175980	496555	15583	175980	496555
172	1032	1823	2519	1032	1908	2704	1556	2556	4950	1556	2556	4950	1515	3520	7337	1515	3520	9572	130	152	250	130	152	250	15698	177016	497805	15698	177016	497805
173	1038	1833	2531	1038	1916	2714	1562	2564	4960	1562	2564	4960	1521	3528	7347	1521	3528	9582	131	153	252	131	153	252	15813	178052	499055	15813	178052	499055
