description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
3 rune 03 -> rune 04	1			100					3	r03,qty=3							r04																																																																																							0
3 rune 04 -> rune 05	1			100					3	r04,qty=3							r05																																																																																							0
3 rune 05 -> rune 06	1			100					3	r05,qty=3							r06																																																																																							0
3 rune 06 -> rune 07	1			100					3	r06,qty=3							r07																																																																																							0
3 rune 07 -> rune 08	1			100					3	r07,qty=3							r08																																																																																							0
3 rune 08 -> rune 09	1			100					3	r08,qty=3							r09																																																																																							0
3 rune 09 -> rune 10	1			100					3	r09,qty=3							r10																																																																																							0
3 rune 10 -> rune 11	1			100					3	r10,qty=3							r11																																																																																							0
3 rune 11 -> rune 12	1			100					3	r11,qty=3							r12																																																																																							0
3 rune 12 -> rune 13	1			100					3	r12,qty=3							r13																																																																																							0
3 rune 13 -> rune 14	1			100					3	r13,qty=3							r14																																																																																							0
3 rune 14 -> rune 15	1			100					3	r14,qty=3							r15																																																																																							0
3 rune 15 -> rune 16	1			100					3	r15,qty=3							r16																																																																																							0
3 rune 16 -> rune 17	1			100					3	r16,qty=3							r17																																																																																							0
3 rune 17 -> rune 18	1			100					3	r17,qty=3							r18																																																																																							0
3 rune 18 -> rune 19	1			100					3	r18,qty=3							r19																																																																																							0
3 rune 19 -> rune 20	1			100					3	r19,qty=3							r20																																																																																							0
3 rune 20 -> rune 21	1			100					3	r20,qty=3							r21																																																																																							0
2 rune 21 -> rune 22	1			100					2	r21,qty=2							r22																																																																																							0
2 rune 22 -> rune 23	1			100					2	r22,qty=2							r23																																																																																							0
2 rune 23 -> rune 24	1			100					2	r23,qty=2							r24																																																																																							0
2 rune 24 -> rune 25	1			100					2	r24,qty=2							r25																																																																																							0
2 rune 25 -> rune 26	1			100					2	r25,qty=2							r26																																																																																							0
2 rune 26 -> rune 27	1			100					2	r26,qty=2							r27																																																																																							0
2 rune 27 -> rune 28	1			100					2	r27,qty=2							r28																																																																																							0
2 rune 28 -> rune 29	1			100					2	r28,qty=2							r29																																																																																							0
2 rune 29 -> rune 30	1			100					2	r29,qty=2							r30																																																																																							0
2 rune 30 -> rune 31	1			100					2	r30,qty=2							r31q																																																																																							0
2 rune 31 -> rune 32	1			100					2	r31q,qty=2							r32																																																																																							0
2 rune 32 -> rune 33	1			100					2	r32,qty=2							r33																																																																																							0
hitpower helm	1			100					2	helm,mag	ch1						usetype,crf		50	50	gethit-skill		44	10	8	thorns			3	10	ac-miss			25	50	hp_dscr			1	1																																																																0
hitpower boots	1			100					2	boot,mag	ch1						usetype,crf		50	50	gethit-skill		44	10	8	thorns			3	10	ac-hth			25	60	hp_dscr			1	1																																																																0
hitpower gloves	1			100					2	glov,mag	ch1						usetype,crf		50	50	gethit-skill		44	10	8	thorns			3	10	knock			1	1	hp_dscr			1	1																																																																0
hitpower belt	1			100					2	belt,mag	ch1						usetype,crf		50	50	gethit-skill		44	10	8	thorns			3	10	dmg-to-mana			5	10	hp_dscr			1	1																																																																0
hitpower shield	1			100					2	shld,mag	ch1						usetype,crf		50	50	gethit-skill		44	10	8	thorns			3	10	block			5	10	hp_dscr			1	1																																																																0
hitpower body	1			100					2	tors,mag	ch1						usetype,crf		50	50	gethit-skill		44	10	8	thorns			3	10	balance1			10	20	hp_dscr			1	1																																																																0
hitpower amulet	1			100					2	amul,mag	ch1						usetype,crf		50	50	gethit-skill		44	10	8	thorns			3	10	howl			5	15	hp_dscr			1	1																																																																0
hitpower ring	1			100					2	ring,mag	ch1						usetype,crf		50	50	gethit-skill		44	10	8	thorns			3	10	dex			1	5	hp_dscr			1	1																																																																0
hitpower weapon	1			100					2	weap,mag	ch1						usetype,crf		50	50	gethit-skill		44	10	8	thorns			3	10	dmg%			35	60	hp_dscr			1	1																																																																0
blood helm	1			100					2	helm,mag	cb1						usetype,crf		50	50	lifesteal			1	5	hp			10	20	deadly			5	10	b_dscr			1	1																																																																0
blood boots	1			100					2	boot,mag	cb1						usetype,crf		50	50	lifesteal			1	5	hp			10	20	regen			5	10	b_dscr			1	1																																																																0
blood gloves	1			100					2	glov,mag	cb1						usetype,crf		50	50	lifesteal			1	5	hp			10	20	crush			5	10	b_dscr			1	1																																																																0
blood belt	1			100					2	belt,mag	cb1						usetype,crf		50	50	lifesteal			1	5	hp			10	20	openwounds			5	10	b_dscr			1	1																																																																0
blood shield	1			100					2	shld,mag	cb1						usetype,crf		50	50	lifesteal			1	5	hp			10	20	thorns			4	7	b_dscr			1	1																																																																0
blood body	1			100					2	tors,mag	cb1						usetype,crf		50	50	lifesteal			1	5	hp			10	20	demon-heal			1	5	b_dscr			1	1																																																																0
blood amulet	1			100					2	amul,mag	cb1						usetype,crf		50	50	lifesteal			1	5	hp			10	20	move1			5	10	b_dscr			1	1																																																																0
blood ring	1			100					2	ring,mag	cb1						usetype,crf		50	50	lifesteal			1	5	hp			10	20	str			1	5	b_dscr			1	1																																																																0
blood weapon	1			100					2	weap,mag	cb1						usetype,crf		50	50	lifesteal			1	5	hp			10	20	dmg%			35	60	b_dscr			1	1																																																																0
caster helm	1			100					2	helm,mag	cc1						usetype,crf		50	50	regen-mana			5	10	mana			10	20	manasteal			1	5	c_dscr			1	1																																																																0
caster boots	1			100					2	boot,mag	cc1						usetype,crf		50	50	regen-mana			5	10	mana			10	20	mana%			2	5	c_dscr			1	1																																																																0
caster gloves	1			100					2	glov,mag	cc1						usetype,crf		50	50	regen-mana			5	10	mana			10	20	mana-kill			1	5	c_dscr			1	1																																																																0
caster belt	1			100					2	belt,mag	cc1						usetype,crf		50	50	regen-mana			5	10	mana			10	20	cast1			5	10	c_dscr			1	1																																																																0
caster shield	1			100					2	shld,mag	cc1						usetype,crf		50	50	regen-mana			5	10	mana			10	20	block			5	10	c_dscr			1	1																																																																0
caster body	1			100					2	tors,mag	cc1						usetype,crf		50	50	regen-mana			5	10	mana			10	20	mana-kill			1	5	c_dscr			1	1																																																																0
caster amulet	1			100					2	amul,mag	cc1						usetype,crf		50	50	regen-mana			5	10	mana			10	20	cast1			5	10	c_dscr			1	1																																																																0
caster ring	1			100					2	ring,mag	cc1						usetype,crf		50	50	regen-mana			5	10	mana			10	20	enr			1	5	c_dscr			1	1																																																																0
caster weapon	1			100					2	weap,mag	cc1						usetype,crf		50	50	regen-mana			5	10	mana			10	20	mana%			1	5	c_dscr			1	1																																																																0
safety helm	1			100					2	helm,mag	cs1						usetype,crf		50	50	red-dmg			1	5	red-mag			1	5	res-ltng			5	10	ac%			10	30	s_dscr			1	1																																																											0
safety boots	1			100					2	boot,mag	cs1						usetype,crf		50	50	red-dmg			1	5	red-mag			1	5	res-fire			5	10	ac%			10	30	s_dscr			1	1																																																											0
safety gloves	1			100					2	glov,mag	cs1						usetype,crf		50	50	red-dmg			1	5	red-mag			1	5	res-cold			5	10	ac%			10	30	s_dscr			1	1																																																											0
safety belt	1			100					2	belt,mag	cs1						usetype,crf		50	50	red-dmg			1	5	red-mag			1	5	res-pois			5	10	ac%			10	30	s_dscr			1	1																																																											0
safety shield	1			100					2	shld,mag	cs1						usetype,crf		50	50	red-dmg			1	5	red-mag			1	5	res-mag			5	10	ac%			10	30	s_dscr			1	1																																																											0
safety body	1			100					2	tors,mag	cs1						usetype,crf		50	50	red-dmg			1	5	red-mag			1	5	half-freeze			1	1	ac%			10	30	s_dscr			1	1																																																											0
safety amulet	1			100					2	amul,mag	cs1						usetype,crf		50	50	red-dmg			1	5	red-mag			1	5	block			1	10	s_dscr			1	1																																																																0
safety ring	1			100					2	ring,mag	cs1						usetype,crf		50	50	red-dmg			1	5	red-mag			1	5	vit			1	5	s_dscr			1	1																																																																0
safety weapon	1			100					2	weap,mag	cs1						usetype,crf		50	50	red-dmg			1	5	red-mag			1	5	ac%			5	10	s_dscr			1	1																																																																0
crafted charm	1			100					2	cm3,mag	ch1						usetype,crf		50	50	poisonskill	10		1	1	extra-pois			1	3	pierce-pois			1	3	hp_dscr			1	1																																																																0
crafted charm	1			100					2	cm3,mag	cb1						usetype,crf		50	50	fireskill	10		1	1	extra-fire			1	3	pierce-fire			1	3	b_dscr			1	1																																																																0
crafted charm	1			100					2	cm3,mag	cc1						usetype,crf		50	50	coldskill	10		1	1	extra-cold			1	3	pierce-cold			1	3	c_dscr			1	1																																																																0
crafted charm	1			100					2	cm3,mag	cs1						usetype,crf		50	50	lightningskill	10		1	1	extra-ltng			1	3	pierce-ltng			1	3	s_dscr			1	1																																																																0
upg + flawless gem + basic weapon -> exceptional weapon	1			100					3	weap,bas	upg	gem3					useitem,mod,exc				levelreq			5	5	exc_dscr			1	1																																																																										0
upg + flawless gem + basic armor -> exceptional armor	1			100					3	armo,bas	upg	gem3					useitem,mod,exc				levelreq			5	5	exc_dscr			1	1																																																																										0
upg + perfect gem + exceptional weapon -> elite weapon	1			100					3	weap,exc	upg	gem4					useitem,mod,eli				levelreq			7	7	el_dscr			1	1																																																																										0
upg + perfect gem + exceptional armor -> elite armor	1			100					3	armo,exc	upg	gem4					useitem,mod,eli				levelreq			7	7	el_dscr			1	1																																																																										0
1 socket to unique	1			100					2	armo,uni,nos	sct						useitem				sock			1	1																																																																															0
1 socket to unique	1			100					2	weap,uni,nos	sct						useitem				sock			1	1																																																																															0
norm sock	1			100					2	tors,nor,nos	jwo						useitem				sock			1	6																																																																															0
norm sock	1			100					2	weap,nor,nos	jwo						useitem				sock			1	6																																																																															0
norm sock	1			100					2	helm,nor,nos	jwo						useitem				sock			1	6																																																																															0
norm sock	1			100					2	shld,nor,nos	jwo						useitem				sock			1	6																																																																															0
norm sock	1			100					2	boot,nor,nos	jwo						useitem				sock			1	6																																																																															0
norm sock	1			100					2	glov,nor,nos	jwo						useitem				sock			1	6																																																																															0
norm sock	1			100					2	belt,nor,nos	jwo						useitem				sock			1	6																																																																															0
Gem Remover	1			100					2	any,sock	rmv						useitem,uns																																																																																							0
Pandemonium key	1			100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																							0
Pandemonium Finale key	1			100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																							0
Token of Absolution	1			100					4	tes	ceh	bet	fed				toa																																																																																							0
pile1	1			100					1	gp1							gem0																													gem0																													gem0																													0
pile2	1			100					1	gp2							gem0																													gem0																													gem1																													0
pile3	1			100					1	gp3							gem0																													gem1																													gem1																													0
pile4	1			100					1	gp4							gem1																													gem1																													gem1																													0
pile5	1			100					1	gp5							gem1																													gem1																													gem2																													0
pile6	1			100					1	gp6							gem1																													gem2																													gem2																													0
pile7	1			100					1	gp7							gem2																													gem2																													gem2																													0
pile8	1			100					1	gp8							gem2																													gem2																													gem3																													0
pile9	1			100					1	gp9							gem2																													gem3																													gem3																													0
pilea	1			100					1	gp10							gem3																													gem3																													gem3																													0
pileb	1			100					1	gp11							gem0																													gem2																													gem3																													0
pilec	1			100					1	gp12							gem0																													gem2																													gem2																													0
piled	1			100					1	gp13							gem1																													gem2																													gem3																													0
pilee	1			100					1	gp14							gem0																													gem1																													gem3																													0
pilef	1			100					1	gp15							gem1																													gem1																													gem3																													0
Unidentified Rune	1			100					1	r31							rune	100																																																																																						0
2 jewels + r02 -> r01	1			100					3	jew,qty=2	r02						r01																																																																																							0
2 jewels + r03 -> r02	1			100					3	jew,qty=2	r03						r02																																																																																							0
2 jewels + r04 -> r03	1			100					3	jew,qty=2	r04						r03																																																																																							0
2 jewels + r05 -> r04	1			100					3	jew,qty=2	r05						r04																																																																																							0
2 jewels + r06 -> r05	1			100					3	jew,qty=2	r06						r05																																																																																							0
2 jewels + r07 -> r06	1			100					3	jew,qty=2	r07						r06																																																																																							0
2 jewels + r08 -> r07	1			100					3	jew,qty=2	r08						r07																																																																																							0
2 jewels + r09 -> r08	1			100					3	jew,qty=2	r09						r08																																																																																							0
2 jewels + r10 -> r09	1			100					3	jew,qty=2	r10						r09																																																																																							0
2 jewels + r11 -> r10	1			100					3	jew,qty=2	r11						r10																																																																																							0
2 jewels + r12 -> r11	1			100					3	jew,qty=2	r12						r11																																																																																							0
2 jewels + r13 -> r12	1			100					3	jew,qty=2	r13						r12																																																																																							0
2 jewels + r14 -> r13	1			100					3	jew,qty=2	r14						r13																																																																																							0
2 jewels + r15 -> r14	1			100					3	jew,qty=2	r15						r14																																																																																							0
2 jewels + r16 -> r15	1			100					3	jew,qty=2	r16						r15																																																																																							0
2 jewels + r17 -> r16	1			100					3	jew,qty=2	r17						r16																																																																																							0
2 jewels + r18 -> r17	1			100					3	jew,qty=2	r18						r17																																																																																							0
2 jewels + r19 -> r18	1			100					3	jew,qty=2	r19						r18																																																																																							0
2 jewels + r20 -> r19	1			100					3	jew,qty=2	r20						r19																																																																																							0
2 jewels + r21 -> r20	1			100					3	jew,qty=2	r21						r20																																																																																							0
2 jewels + r22 -> r21	1			100					3	jew,qty=2	r22						r21																																																																																							0
2 jewels + r23 -> r22	1			100					3	jew,qty=2	r23						r22																																																																																							0
2 jewels + r24 -> r23	1			100					3	jew,qty=2	r24						r23																																																																																							0
2 jewels + r25 -> r24	1			100					3	jew,qty=2	r25						r24																																																																																							0
2 jewels + r26 -> r25	1			100					3	jew,qty=2	r26						r25																																																																																							0
2 jewels + r27 -> r26	1			100					3	jew,qty=2	r27						r26																																																																																							0
2 jewels + r28 -> r27	1			100					3	jew,qty=2	r28						r27																																																																																							0
2 jewels + r29 -> r28	1			100					3	jew,qty=2	r29						r28																																																																																							0
2 jewels + r30 -> r29	1			100					3	jew,qty=2	r30						r29																																																																																							0
2 jewels + r31 -> r30	1			100					3	jew,qty=2	r31q						r30																																																																																							0
2 jewels + r32 -> r31	1			100					3	jew,qty=2	r32						r31q																																																																																							0
2 jewels + r33 -> r32	1			100					3	jew,qty=2	r33						r32																																																																																							0
3 perfect gems + 1 magic gc -> magic gc	1			100					4	cm3,mag	gem4,qty=3						usetype,mag			100																																																																																				0
5 perfect gems + 1 rare gc -> rare gc	1			100					6	cm3,rar	gem4,qty=5						usetype,rar			100																																																																																				0
Legendary Rad	1			100					2	weap,any	std						useitem				sock			6	6																																																																															0
White Dye Potion	1			100					2	weap,any	dy1						useitem,tmp				state		185	100	100	dye1			1	1	dmg%			75	125																																																																					0
Red Dye Potion	1			100					2	weap,any	dy2						useitem,tmp				state		186	100	100	dye2			1	1	lifesteal			3	7																																																																					0
Purple Dye Potion	1			100					2	weap,any	dy3						useitem,tmp				state		187	100	100	dye3			1	1	deadly			10	20																																																																					0
Blue Dye Potion	1			100					2	weap,any	dy4						useitem,tmp				state		188	100	100	dye4			1	1	cast1			10	15																																																																					0
Green Dye Potion	1			100					2	weap,any	dy5						useitem,tmp				state		189	100	100	dye5			1	1	openwounds			10	20																																																																					0
Gold Dye Potion	1			100					2	weap,any	dy6						useitem,tmp				state		190	100	100	dye6			1	1	mag%			10	15																																																																					0
Black Dye Potion	1			100					2	weap,any	dy7						useitem,tmp				state		191	100	100	dye7			1	1	crush			10	20																																																																					0
Yellow Dye Potion	1			100					2	weap,any	dy8						useitem,tmp				state		192	100	100	dye8			1	1	swing2			10	20																																																																					0
Orange Dye Potion	1			100					2	weap,any	dy9						useitem,tmp				state		193	100	100	dye9			1	1	addxp			3	5																																																																					0
White Dye Potion	1			100					2	tors,any	dy1						useitem,tmp				state		194	100	100	dye1			1	1	ac%			75	125																																																																					0
Red Dye Potion	1			100					2	tors,any	dy2						useitem,tmp				state		195	100	100	dye2			1	1	extra-fire			3	5																																																																					0
Purple Dye Potion	1			100					2	tors,any	dy3						useitem,tmp				state		196	100	100	dye3			1	1	res-all-max			3	5																																																																					0
Blue Dye Potion	1			100					2	tors,any	dy4						useitem,tmp				state		197	100	100	dye4			1	1	extra-cold			3	5																																																																					0
Green Dye Potion	1			100					2	tors,any	dy5						useitem,tmp				state		198	100	100	dye5			1	1	extra-pois			3	5																																																																					0
Gold Dye Potion	1			100					2	tors,any	dy6						useitem,tmp				state		199	100	100	dye6			1	1	gold%			25	75																																																																					0
Black Dye Potion	1			100					2	tors,any	dy7						useitem,tmp				state		200	100	100	dye7			1	1	red-dmg%			5	10																																																																					0
Yellow Dye Potion	1			100					2	tors,any	dy8						useitem,tmp				state		201	100	100	dye8			1	1	extra-ltng			3	5																																																																					0
Orange Dye Potion	1			100					2	tors,any	dy9						useitem,tmp				state		202	100	100	dye9			1	1	move3			15	30																																																																					0
recepty	1			100					2	armo,nor	qw1						useitem		100		ac			2	8	levelreq			3	3																																																																										0
recepty	1			100					2	armo,nor	qw2						useitem		100		ac-miss			2	8	levelreq			4	4																																																																										0
recepty	1			100					2	armo,nor	qw3						useitem		100		att			2	8	levelreq			5	5																																																																										0
recepty	1			100					2	armo,nor	qw4						useitem		100		mana			2	8	levelreq			6	6																																																																										0
recepty	1			100					2	armo,nor	qw5						useitem		100		red-dmg			1	2	levelreq			7	7																																																																										0
recepty	1			100					2	armo,nor	qw6						useitem		100		hp			2	8	levelreq			8	8																																																																										0
recepty	1			100					2	armo,nor	qw7						useitem		100		red-mag			2	8	levelreq			9	9																																																																										0
recepty2	1			100					2	armo,hiq	qw1						useitem		100		ac			3	10	levelreq			3	3																																																																										0
recepty	1			100					2	armo,hiq	qw2						useitem		100		ac-miss			3	10	levelreq			4	4																																																																										0
recepty	1			100					2	armo,hiq	qw3						useitem		100		att			3	10	levelreq			5	5																																																																										0
recepty	1			100					2	armo,hiq	qw4						useitem		100		mana			3	10	levelreq			6	6																																																																										0
recepty	1			100					2	armo,hiq	qw5						useitem		100		red-dmg			1	4	levelreq			7	7																																																																										0
recepty	1			100					2	armo,hiq	qw6						useitem		100		hp			3	10	levelreq			8	8																																																																										0
recepty	1			100					2	armo,hiq	qw7						useitem		100		red-mag			3	10	levelreq			9	9																																																																										0
recepty3	1			100					2	armo,mag	qw1						useitem		100		ac			4	16	levelreq			3	3																																																																										0
recepty	1			100					2	armo,mag	qw2						useitem		100		ac-miss			4	16	levelreq			4	4																																																																										0
recepty	1			100					2	armo,mag	qw3						useitem		100		att			4	16	levelreq			5	5																																																																										0
recepty	1			100					2	armo,mag	qw4						useitem		100		mana			4	16	levelreq			6	6																																																																										0
recepty	1			100					2	armo,mag	qw5						useitem		100		red-dmg			2	4	levelreq			7	7																																																																										0
recepty	1			100					2	armo,mag	qw6						useitem		100		hp			4	16	levelreq			8	8																																																																										0
recepty	1			100					2	armo,mag	qw7						useitem		100		red-mag			4	16	levelreq			9	9																																																																										0
enchant 2	1			0					2	q00	qw1						useitem	100		100	soothing			3	6																					qw1																																																										0
enchant 3	1			0					2	q00	qw2						useitem	100		100	soothing			7	11																					qw2																																																										0
enchant 4	1			0					2	q00	qw3						useitem	100		100	soothing			11	16																					qw3																																																										0
enchant 5	1			0					2	q00	qw4						useitem	100		100	soothing			150	2100																					qw4																																																										0
enchant 6	1			0					2	q00	qw5						useitem	100		100	soothing			190	260																					qw5																																																										0
enchant 7	1			0					2	q00	qw6						useitem	100		100	soothing			23	31																					qw6																																																										0
enchant 8	1			0					2	q00	qw7						useitem	100		100	soothing			27	36																					qw7																																																										0
enchant 9	1			0					2	q00	qw8						useitem	100		100	soothing			31	41																					qw8																																																										0
enchant 10	1			0					2	q00	qw9						useitem	100		100	soothing			35	46																					qw9																																																										0
enchant 11	1			0					2	q00	q11						useitem	100		100	soothing			39	51																					q10																																																										0
enchant 12	1			0					2	q00	q12						useitem	100		100	soothing			43	56																					q11																																																										0
enchant 13	1			0					2	q00	q13						useitem	100		100	soothing			47	61																					q12																																																										0
enchant 14	1			0					2	q00	q14						useitem	100		100	soothing			51	66																					q13																																																										0
enchant 15	1			0					2	q00	q15						useitem	100		100	soothing			55	71																					q14																																																										0
enchant 16	1			0					2	q00	q16						useitem	100		100	soothing			59	76																					q15																																																										0
enchant 17	1			0					2	q00	q17						useitem	100		100	soothing			63	81																					q16																																																										0
enchant 18	1			0					2	q00	q18						useitem	100		100	soothing			67	86																					q17																																																										0
enchant 19	1			0					2	q00	q19						useitem	100		100	soothing			71	91																					q18																																																										0
enchant 20	1			0					2	q00	q20						useitem	100		100	soothing			76	95																																																																															0
ENCHANT 2B	1			0	19	368	30		2	"armo,nor"	q22						useitem	100		100	ac-miss			8	12	ease			13	13	levelreq			1	6																																																																					0
