skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
valkyrie	2	6	1	2	0	52	skillname32	skillsd32	valkyrie3	skillan32	StrSkill3																	1					2	StrSkill31	StrSkill23	(lvl-1)*par3		4	StrSkill22		toht		2	StrSkill4	StrSkill23	par2*(lvl-1)		13			par1 * (lvl - 1) + skill('Dopplezon'.blvl) * par8																																																									25	getsbonusstr				0
pierce	2	6	3	2	0	54	skillname33	skillsd33	skillld33	skillan33	StrSkill3																	7	StrSkill24		dm12																																																																																		0
lightning strike	3	6	2	3	0	56	skillname34	skillsd34	skillld34	skillan34	StrSkill3	17																1					10					7	StrSkill11		ln34																																																																								0
lightning fury	3	6	3	3	0	58	skillname35	skillsd35	skillld35	skillan35	StrSkill3	22																1					10					3	StrSkill72	StrSkill27	ln12																																																																								0
fire bolt	1	1	2	1	0	0	skillname36	skillsd36	skillld36	skillan36	StrSkill3	5																11					10					9					8															1																																																							0
warmth	1	1	3	1	0	2	warmth1	warmth2	warmth3	skillan37	StrSkill3																	7	StrSkill23y		ulvl*(1+blvl/3)+30+ulvl/8		7	StrSkill23x		pst2																																																																													0
charged bolt	2	1	2	2	0	4	skillname38	skillsd38	skillld38	skillan38	StrSkill3	5																1					7	StrSkill27		min(24,ln12)		10																																																																											0
ice bolt	3	1	2	3	0	6	skillname39	skillsd39	skillld39	skillan39	StrSkill3	5																1					11					10					9					8																																																																	0
frozen armor	3	1	3	3	0	8	skillname40	skillsd40	skillld40	skillan40	StrSkill3																	1					12	StrSkill62		ln56*(100+((skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par8))/100		12	StrSkill20		ln34+(skill('Shiver Armor'.blvl)+skill('Chilling Armor'.blvl))*par7		3	StrSkill31	StrSkill23	ln12																																																																			0
inferno	1	2	1	1	0	10	skillname41	skillsd41	skillld41	skillan41	StrSkill3	8																3	StrSkill3	StrSkill34	mps		19	StrSkill56		ln12/4		11					26															5	StrSkill115		par3																																																				0
static field	2	2	1	2	0	12	skillname42	skillsd42	skillxld42	skillan42	StrSkill3																	1					19	StrSkill18		ln12																						3	StrSkill33	StrSkill23	par4																																																				0
telekinesis	2	2	3	2	0	14	skillname43	skillsd43	skillld43	skillan43	StrSkill3	5																1					10																																																																																0
frost nova	3	2	1	3	0	16	skillname44	skillsd44	skillld44	skillan44	StrSkill3	5																1					11					10																																																																											0
ice blast	3	2	2	3	0	18	skillname45	skillsd45	skillld45	skillan45	StrSkill3	5																1					12	StrSkill62		edln		10																																																																											0
blaze	1	3	1	1	0	20	skillname46	skillsd46	skillld46	skillan46	StrSkill3	9													blaze			1					27					23	StrSkill82																																																																										0
fire ball	1	3	2	1	0	22	skillname47	skillsd47	skillld47	skillan47	StrSkill3	5													fireball			1					11					10					9					8										28																																																							0
nova	2	3	1	2	0	24	lightningstroke1	lightningstroke2	lightningstroke3	skillan48	StrSkill3	5																1					10																																																																																0
lightning	2	3	2	2	0	26	skillname49	skillsd49	skillld49	skillan49	StrSkill3	5																1					11					10					9					8																																																																	0
shiver armor	3	3	3	3	0	28	skillname50	skillsd50	skillld50	skillan50	StrSkill3	5																1					11					10					3	StrSkill31	StrSkill23	ln12		12	StrSkill20		ln34+(skill('Frozen Armor'.blvl)+skill('Chilling Armor'.blvl))*par7																																																														0
fire wall	1	4	1	1	0	30	meteorstorm1	meteorstorm2	meteorstorm3	skillan51	StrSkill3	9													firewallmaker			1					29					27					30	StrSkill82																																																																					0
enchant	1	4	3	1	0	32	skillname52	skillsd52	skillld52	skillan52	StrSkill3																	1					2	StrSkill30	StrSkill23	toht		10					12	StrSkill20		ln12																																																																			0
chain lightning	2	4	2	2	0	34	skillname53	skillsd53	skillld53	skillan53	StrSkill3	5																1					10					7	StrSkill11		ln34/par5																																																																								0
teleport	2	4	3	2	0	36	skillname54	skillsd54	teleport3	skillan54	StrSkill3																	1					12	delaystr		clc1																																																																													0
glacial spike	3	4	2	3	0	38	skillname55	skillsd55	skillld55	skillan55	StrSkill3	5																1					12	StrSkill62		ln34 * (100 + skill('Blizzard'.blvl) * par7) / 100		10																				19	StrSkill18		ln12																																																				0
meteor	1	5	2	1	0	40	skillname56	skillsd56	skillld56	skillan56	StrSkill3	5													meteorfire			1					22					19	StrSkill18		ln12		10																																																																						0
thunder storm	2	5	1	2	0	42	skillname57	skillsd57	thunderstorm3	skillan57	StrSkill3	5																1					10					12	StrSkill20		ln12																																																																								0
energy shield	2	5	3	2	0	44	skillname58	skillsd58	energy3	skillan58	StrSkill3																	1					3	StrSkill40	StrSkill23	min(edmn,95)		12	StrSkill20		ln12																																																																								0
blizzard	3	5	1	3	0	46	skillname59	skillsd59	skillld59	skillan59	StrSkill3	5													blizzardcenter			1					23	StrSkill20				10																																																																											0
chilling armor	3	5	3	3	0	48	skillname60	skillsd60	skillld60	skillan60	StrSkill3	5																1					10					12	StrSkill20		ln34+(skill('Frozen Armor'.blvl)+skill('Shiver Armor'.blvl))*par7		3	StrSkill31	StrSkill23	ln12																																																																			0
fire mastery	1	6	2	1	0	50	skillsname61	skillsd61	skillld61	skillan61	StrSkill3																	2	StrSkill5	StrSkill23	ln12																																																																																		0
hydra	1	6	3	1	0	52	skillname62	skillsd62	skillld62	skillan62	StrSkill3	5																1					24	StrSkill113				12	StrSkill20		ln12																																																																								0
lightning mastery	2	6	2	2	0	54	mastery1	mastery2	mastery3	skillan63	StrSkill3																	2	StrSkill7	StrSkill23	ln12-(ulvl/5)		2	StrSkill5	StrSkill23	ln12-(ulvl/5)		7	StrSkill23		ln12/3																																																																								0
frozen orb	3	6	1	3	0	56	skillname64	skillsd64	skillld64	skillan64	StrSkill3	5																1					11					10					9					8																																																																	0
cold mastery	3	6	2	3	0	58	skillname65	skillsd65	skillld65	skillan65	StrSkill3																	7	StrSkill23		ln12																																																																																		0
amplify damage	1	1	2	1	0	0	skillname66	skillsd66	skilld66x	skillan66	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		ln12																	2	StrSkill37	StrSkill23	par5+(blvl*3)+(ulvl/10)																																																				0
teeth	2	1	2	2	0	2	skillname67	skillsd67	skilld67x	skillan67	StrSkill3	5																1					10					7	StrSkill28		min(ln12,24)																																																																								0
bone armor	2	1	3	2	0	4	skillname68	skillsd68	skilld68x	skillan68	StrSkill3																	1					3	StrSkill40	StrSkill41	(ulvl/2)*blvl+4																																																																													0
skeleton mastery	3	1	1	3	0	6	skillname69	skillsd69	skillld69	skillan69	StrSkill3																	32	StrSkill97	StrSkill4	lvl*par4		32	StrSkill97	StrSkill42	lvl*par3		33	StrSkill96	StrSkill43			70	StrSkill96	StrSkill42	lvl*par1		70	StrSkill95	StrSkill4	lvl*par2		70	StrSkill95	StrSkill42	lvl*par1																																																									0
raise skeleton	3	1	3	3	0	8	skillname70	skillsd70	skilld70x	skillan70	StrSkill3																	1					36	StrSkill94	StrSkill44	(lvl < 4) ?lvl:(2+lvl/3)		13			(lvl < 4) ? 0 : (par2 * (lvl - 3))+ulvl	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1)	5	StrSkill21		5+(lvl+skill('Skeleton Mastery'.lvl))*par5		5	StrSkill22		5+(lvl+skill('Skeleton Mastery'.lvl))*par4		2	StrSkill4	StrSkill23	((lvl < 4) ? 0 : ((lvl-3)*par3))		34																																																							0
dim vision	1	2	1	1	0	10	skillname71	skillsd71	skillld71	skillan71	StrSkill3																	1					31	StrSkill20		ln34		19	StrSkill18		ln12																																																																								0
weaken	1	2	3	1	0	12	skillname72	skillsd72	skilld72x	skillan72	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		ln12																	3	StrSkill38	StrSkill23	-blvl*(ulvl/10)-23																																																				0
poison dagger	2	2	1	2	0	14	skillname73	skillsd73	skillld73	skillan73	StrSkill3	5												1				1					2	StrSkill22	StrSkill23	toht		14																																																																											0
corpse explosion	2	2	2	2	0	16	skillname74	skillsd74	corpseexplosion3	skillan74	StrSkill3																	1					37	StrSkill18		ln34																						38	StrSkill4	StrSkill46	par1+(blvl*3)	par2+(blvl*3)																																																			0
clay golem	3	2	2	3	0	18	skillname75	skillsd75	skillld75	skillan75	StrSkill3																	1					3	Cgslow	StrSkill23	dm34		4	StrSkill30		lvl*par8		39					13			(100+(par1 * (lvl - 1)))*(100+skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8)))/100-100							5	StrSkill21		100+skill('IronGolem'.lvl)*skill('IronGolem'.par8)		5	StrSkill22		40 + skill('Golem Mastery'.ln56) + (lvl*par8)																																															0
iron maiden	1	3	2	1	0	20	skillname76	skillsd76	ironmaiden3	skillan76	StrSkill3																	1					19	StrSkill18		ln12		12	StrSkill20		ln34		7	StrSkill55		ln56																																																																			0
terror	1	3	3	1	0	22	skillname77	skillsd77	skillld77	skillan77	StrSkill3																	1					12	StrSkill20		ln34																						19	StrSkill18		ln12																																																				0
bone wall	2	3	3	2	0	24	skillname78	skillsd78	skillld78	skillan78	StrSkill3																	1					12	StrSkill20		par2		13			(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Prison'.blvl))*par8)																																																																								0
golem mastery	3	3	1	3	0	26	skillname79	skillsd79	golemmastery3	skillan79	StrSkill3																	2	StrSkill89	StrSkill23	dm34		4	StrSkill30		ln56		2	StrSkill42	StrSkill23	lvl*par1																																																																								0
raise skeletal mage	3	3	3	3	0	28	skillname80	skillsd80	skillld80	skillan80	StrSkill3																	1					36	StrSkill43a	StrSkill44a	(lvl < 4) ?lvl:(2+lvl/3)		5	StrSkill21		(lvl+skill('Skeleton Mastery'.lvl))*par5		13				skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par1)																																																																		0
confuse	1	4	1	1	0	30	skillname81	skillsd81	skillld81x	skillan81	StrSkill3																	1					31	StrSkill20		ln34		19	StrSkill18		ln12																																																																								0
life tap	1	4	2	1	0	32	skillname82	skillsd82	lifetap3	skillan82	StrSkill3																	1					12	StrSkill20		ln34		19	StrSkill18		ln12																	3	StrSkill50	StrSkill79	ln56																																																				0
poison explosion	2	4	1	2	0	34	skillname83	skillsd83	skillld83	skillan83	StrSkill3	5																1					14																																																																																0
bone spear	2	4	2	2	0	36	skillname84	skillsd84	bonespear3	skillan84	StrSkill3	5																1					11					10					9					8																																																																	0
bloodgolem	3	4	2	3	0	38	skillname85	skillsd85	skillld85	skillan85	StrSkill3																	1					39					3	StrSkill80	StrSkill81	dm12																	5	StrSkill21		120+skill('IronGolem'.lvl)*skill('IronGolem'.par8)		5	StrSkill22		60 + skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)		13			skill('Golem Mastery'.ln12)																																										0
attract	1	5	1	1	0	40	skillname86	skillsd86	skillxld86	skillan86	StrSkill3																	1					31	StrSkill20		ln34																						19	StrSkill18		ln12																																																				0
decrepify	1	5	3	1	0	42	skillname87	skillsd87	decrepify3	skillan87	StrSkill3																	1					12	StrSkill20		ln34																						19	StrSkill18		ln12																																																				0
bone prison	2	5	3	2	0	44	skillname88	skillsd88	skillld88	skillan88	StrSkill3																	1					12	StrSkill20		par2		13			(par1 * (lvl-1)) + ((skill('Bone Armor'.blvl)+skill('Bone Wall'.blvl))*par8)																																																																								0
summon resist	3	5	1	3	0	46	skillname89	skillsd89	skillld89	skillan89	StrSkill3			reivve														2	StrSkill54	StrSkill23	dm12																																																																																		0
irongolem	3	5	2	3	0	48	skillname90	skillsd90	skillld90	skillan90	StrSkill3			firegome														1					4	StrSkill31		lvl*par8		7	StrSkill55		ln12		18	StrSkill112														5	StrSkill21		140+lvl*par8		5	StrSkill22		80 + skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)		39					13			skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8))																																					0
lower resist	1	6	2	1	0	50	skillname91	skillsd91	skillld91	skillan91	StrSkill3			gol mastery														1					3	StrSkill54	StrSkill23	dm56*-1		12	StrSkill20		ln34		19	StrSkill18		ln12																																																																			0
poison nova	2	6	1	2	0	52	skillname92	skillsd92	poisonnova3	skillan92	StrSkill3	5		decr														1					14																																																																																0
bone spirit	2	6	2	2	0	54	skillname93	skillsd93	bonespirit3	skillan93	StrSkill3	5		lifetap														1					10																																																																																0
firegolem	3	6	2	3	0	56	skillname94	skillsd94	firegolem3	skillan94	StrSkill3			itonmai														1					35	skillname102		sklvl('Holy Fire'.ln56.edmn)	sklvl('Holy Fire'.ln56.edmx)	41			edmn+sklvl('Holy Fire'.ln56.edmn)*sklvl('Holy Fire'.ln56.par5)	edmx+sklvl('Holy Fire'.ln56.edmx)*sklvl('Holy Fire'.ln56.par5)	3	StrSkill40	StrSkill103	dm12												5	StrSkill21		200+skill('IronGolem'.lvl)*skill('IronGolem'.par8)		5	StrSkill22		120 + skill('Golem Mastery'.ln56)+skill('Clay Golem'.blvl)*skill('Clay Golem'.par8)		13			skill('Golem Mastery'.ln12) + (skill('BloodGolem'.blvl)*skill('BloodGolem'.par8))																																										0
revive	3	6	3	3	0	58	skillname95	skillsd95	revive3	skillan95	StrSkill3																	1					5	StrSkill97		lvl																						2	StrSkill4	StrSkill23	skill('Skeleton Mastery'.lvl) * skill('Skeleton Mastery'.par4)		2	StrSkill42	StrSkill23	par1*(1+blvl/2)		12	StrSkill20		ln34																																										0
sacrifice	1	1	1	1	0	0	skillname96	skillsd96	skillld96	skillan96	StrSkill3	7	ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7											1				1					2	StrSkill4	StrSkill23	ln12+skill('Redemption'.blvl)*par8+skill('Fanaticism'.blvl)*par7		2	StrSkill10	StrSkill23	toht																	68	StrSkill23	StrSkill47	par3																																																				0
smite	1	1	3	1	0	2	skillname97	skillsd97	smite3	skillan97	StrSkill3	10																1					12	StrSkill48		min(250,ln12)		2	StrSkill4	StrSkill23	ln34																																																																								0
might	2	1	1	2	0	4	skillname98	skillsd98	might3	skillan98	StrSkill3																	2	StrSkill4	StrSkill23	ln34		19	StrSkill18		ln12																																																																													0
prayer	3	1	1	3	0	6	skillname99	skillsd99	prayer3	skillan99	StrSkill3																	1					4	StrSkill50		edmn		19	StrSkill18		ln12																																																																								0
resist fire	3	1	3	3	0	8	skillname100	skillsd100	resistfire3	skillan100	StrSkill3																	2	StrSkill51	StrSkill23	dm34		19	StrSkill18		ln12																																																																													0
holy bolt	1	2	2	1	0	10	skillname101	skillsd101	skillld101	skillan101	StrSkill3	5																1					47	StrSkill50		ln12 * (100 + skill('Prayer'.blvl) * par7) / 100	ln34 * (100 + skill('Prayer'.blvl) * par7) / 100	10																																																																											0
holy fire	2	2	2	2	0	12	skillname102	skillsd102	holyfire3	skillan102	StrSkill3	5																1					43	StrSkill5		edns	edxs	38	StrSkill5	strEskilllighttoattack	edns*par5/256	edxs*par5/256	19	StrSkill18		ln12																																																																			0
thorns	2	2	3	2	0	14	skillname103	skillsd103	thorns3	skillan103	StrSkill3																	7	StrSkill55		ln34		19	StrSkill18		ln12																																																																													0
defiance	3	2	2	3	0	16	skillname104	skillsd104	skillld104	skillan104	StrSkill3																	2	StrSkill31	StrSkill23	ln34		19	StrSkill18		ln12																																																																													0
resist cold	3	2	3	3	0	18	skillname105	skillsd105	skillld105	skillan105	StrSkill3																	2	StrSkill52	StrSkill23	dm34		19	StrSkill18		ln12																																																																													0
zeal	1	3	1	1	0	20	skillname106	skillsd106	skillld106	skillan106	StrSkill3	7	((lvl < 5) ? 0 : ((lvl-4) * par4) )+skill('Sacrifice'.blvl)*par8											2				1					7	StrSkill11		min((par5 + lvl -1), par6)		2	StrSkill4	StrSkill23	((lvl < 5) ? 0 : ((lvl-4) * par4) )+skill('Sacrifice'.blvl)*par8		2	StrSkill30	StrSkill23	toht																																																																			0
charge	1	3	3	1	0	22	skillname107	skillsd107	skillld107	skillan107	StrSkill3	7	ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8											2				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	ln34+(skill('Vigor'.blvl)+skill('Might'.blvl))*par8																																																																								0
blessed aim	2	3	1	2	0	24	skillname108	skillsd108	skillld108	skillan108	StrSkill3																	2	StrSkill22	StrSkill23	ln34		19	StrSkill18		ln12																																																																													0
cleansing	3	3	1	3	0	38	skillname109	skillsd109	cleansing3	skillan109	StrSkill3																	4	StrSkill50		skill('Prayer'.edmn)		3	StrSkill74	StrSkill23	dm34		19	StrSkill18		ln12																	67	skillname99	Healplev2	skill('Prayer'.edmn)																																																				0
resist lightning	3	3	3	3	0	28	skillname110	skillsd110	skillld110	skillan110	StrSkill3																	2	StrSkill53	StrSkill23	dm34		19	StrSkill18		ln12																																																																													0
vengeance	1	4	1	1	0	40	skillname111	skillsd111	skillld111	skillan111	StrSkill3	11												1				1					2	StrSkill22	StrSkill23	toht		2	StrSkill7	StrSkill23	ln12+skill('Resist Lightning'.blvl)*par8+skill('Salvation'.blvl)*par7		2	StrSkill6	StrSkill23	ln12+skill('Resist Cold'.blvl)*par8+skill('Salvation'.blvl)*par7		2	StrSkill5	StrSkill23	ln12+skill('Resist Fire'.blvl)*par8+skill('Salvation'.blvl)*par7		11					2	StrSkill30	StrSkill23	ln34																																																				0
blessed hammer	1	4	2	1	0	32	skillname112	skillsd112	blessedhammer3	skillan112	StrSkill3	12																1					48																																																																																0
concentration	2	4	1	2	0	34	skillname113	skillsd113	concentration3	skillan113	StrSkill3																	1					2	StrSkill4	StrSkill23	ln34		3	StrSkill76	StrSkill23	par5		19	StrSkill18		ln12																																																																			0
holy freeze	2	4	2	2	0	36	skillname114	skillsd114	holyfreeze3	skillan114	StrSkill3	5																3	StrSkill77	StrSkill23	dm34		10					38	StrSkill6	strEskilllighttoattack	edns*par5/256	edxs*par5/256	19	StrSkill18		ln12																																																																			0
vigor	3	4	2	3	0	26	skillname115	skillsd115	skillld115	skillan115	StrSkill3																	2	StrSkill69	StrSkill23	ln34		2	StrSkill71	StrSkill23	ln34		2	StrSkill70	StrSkill23	dm56		19	StrSkill18		ln12																																																																			0
conversion	1	5	1	1	0	30	skillname116	skillsd116	skillld116	skillan116	StrSkill3	5												1				1					12	StrSkill20		ln12		3	StrSkill99	StrSkill23	dm34																																																																								0
holy shield	1	5	3	1	0	42	skillname117	skillsd117	skillld117	skillan117	StrSkill3																	1					2	StrSkill110	StrSkill23	dm56		2	StrSkill31	StrSkill23	ln34+skill('Defiance'.blvl)*par8		12	StrSkill20		ln12		49	ItemStats1o																																																																0
holy shock	2	5	2	2	0	44	skillname118	skillsd118	skillxld118	skillan118	StrSkill3	5																10					38	StrSkill7	strEskilllighttoattack	1	edxs*par5/256	19	StrSkill18		ln12																																																																								0
sanctuary	2	5	3	2	0	46	skillname119	skillsd119	skillld119	skillan119	StrSkill3	5																10					67	ModStr4f	StrSkill23	ln34		19	StrSkill18		ln12																																																																								0
meditation	3	5	1	3	0	48	skillname120	skillsd120	skillld120	skillan120	StrSkill3																	4	StrSkill50		skill('Prayer'.edmn)		2	StrSkill88	StrSkill23	ln34		19	StrSkill18		ln12																	67	skillname99	Healplev2	skill('Prayer'.edmn)																																																				0
fist of the heavens	1	6	2	1	0	50	skillname121	skillsd121	skillld121	skillan121	StrSkill3	5													fistoftheheavensbolt			1					10					50	StrSkill91																																																																										0
