String	Index
Quickfeint	Quickfeint
Felloak	Felloak
Troll's Nail	Troll's Nail
Oakheart	Oakheart
Stoutnail	Stoutnail
Dawn of Skeon	Dawn of Skeon
Gladiator's Strike	Gladiator's Strike
Dark Clan Crusher	Dark Clan Crusher
Umbral's Bat	Umbral's Bat
Eater of Souls	Eater of Souls
Fleshrender	Fleshrender
Stirgi's Club	Stirgi's Club
Nord's Tenderizer	Nord's Tenderizer
Blightsummoner	Blightsummoner
Demonlimb	Demonlimb
Gnat Sting	Gnat Sting
Stunhummer	Stunhummer
Ironstone	Ironstone
Hammer of Jholm	Hammer of Jholm
Blasthammer	Blasthammer
Earthshaker	Earthshaker
Schaefer's Hammer	Schaefer's Hammer
Stone Crusher	Stone Crusher
Famorian's Club	Famorian's Club
Spiritcrusher	Spiritcrusher
Bonesob	Bonesob
Konnan's Maul	Konnan's Maul
Vilifier	Vilifier
Steeldriver	Steeldriver
Hill Giant's Bludgeon	Hill Giant's Bludgeon
Readiness for War	Readiness for War
Bloodtree Stump	Bloodtree Stump
Doom Avatar	Doom Avatar
Burning Desire	Burning Desire
The Gavel of Pain	The Gavel of Pain
Astral Dreadnought	Astral Dreadnought
Windhammer	Windhammer
The Cranium Basher	The Cranium Basher
Earthshifter	Earthshifter
Hycandra	Hycandra
Lesson in Pain	Lesson in Pain
Crushflange	Crushflange
Dawn's Mist	Dawn's Mist
Endless Sleep	Endless Sleep
Bloodrise	Bloodrise
Lashfire	Lashfire
Quickening	Quickening
The Generals Tan Do Li Ga	The Generals Tan Do Li Ga
Cat Tail	Cat Tail
Demise of the Weak	Demise of the Weak
Sureshrill Frost	Sureshrill Frost
Comet's Tail	Comet's Tail
Genoa's Trust	Genoa's Trust
Moonfall	Moonfall
Efreeti's Eye	Efreeti's Eye
Frantic Distress	Frantic Distress
Baezil's Vortex	Baezil's Vortex
Star Dust	Star Dust
Fist of Lachdonnan	Fist of Lachdonnan
Soulgatherer	Soulgatherer
Baranar's Star	Baranar's Star
Horizon's Tornado	Horizon's Tornado
Stormlash	Stormlash
Angelic Sympathy	Angelic Sympathy
Ambercall	Ambercall
Knell Striker	Knell Striker
Avenger's Honor	Avenger's Honor
Angel's Grace	Angel's Grace
Rusthandle	Rusthandle
Crusader's Wrath	Crusader's Wrath
Dawnskein	Dawnskein
Stormeye	Stormeye
Runestar	Runestar
Heavenly Wrath	Heavenly Wrath
Zakarum's Hand	Zakarum's Hand
Trianthalon's Sprinkler	Trianthalon's Sprinkler
Dragon Mephit	Dragon Mephit
The Fetid Sprinkler	The Fetid Sprinkler
Celestial Knight	Celestial Knight
Lord of Riddles	Lord of Riddles
Hand of Blessed Light	Hand of Blessed Light
Heaven's Light	Heaven's Light
The Reedeemer	The Reedeemer
Celestial Judgment	Celestial Judgment
Wrath Of Heaven	Wrath Of Heaven
Wrath of the Seraphim	Wrath of the Seraphim
Ironward	Ironward
Vampire's Fang	Vampire's Fang
Darkflayer	Darkflayer
Gull	Gull
Gornnagal's Dirk	Gornnagal's Dirk
Prisoner’s Anguish	Prisoner’s Anguish
The Diggler	The Diggler
Dragon Talon	Dragon Talon
Zenkiller	Zenkiller
The Jade Tan Do	The Jade Tan Do
Moonsea Razor	Moonsea Razor
Deathprick	Deathprick
Irices Shard	Irices Shard
Cyan Bloodbane	Cyan Bloodbane
Chimera's Claw	Chimera's Claw
Spineripper	Spineripper
Rattlesnake Bite	Rattlesnake Bite
Sweetwhisper	Sweetwhisper
Heart Carver	Heart Carver
Halfling's Blade	Halfling's Blade
Basalisk's Touch	Basalisk's Touch
Blackbog's Sharp	Blackbog's Sharp
Thieve's Lockpicker	Thieve's Lockpicker
Falcon Talon	Falcon Talon
Stormspike	Stormspike
Lich Dagger	Lich Dagger
Wizardspike	Wizardspike
Elven Mystral	Elven Mystral
Fall Of Myth Drannor	Fall Of Myth Drannor
Chaos Wail	Chaos Wail
Fleshripper	Fleshripper
Dagger of Kara'Tir	Dagger of Kara'Tir
Ghostflame	Ghostflame
Sleepthorn	Sleepthorn
Zealot's Branch	Zealot's Branch
The Dragon Chang	The Dragon Chang
Mako's Pierce	Mako's Pierce
Deceiver’s Device	Deceiver’s Device
Razortine	Razortine
Spear of Hydragoon	Spear of Hydragoon
Fangtree	Fangtree
Bloodthief	Bloodthief
Dragon Turtle	Dragon Turtle
Ruemonger	Ruemonger
Lance of Yaggai	Lance of Yaggai
Footman's Picket	Footman's Picket
Woodclaw	Woodclaw
The Tannr Gorerod	The Tannr Gorerod
Old Wolf	Old Wolf
Mandrake	Mandrake
The Impaler	The Impaler
Flametongue	Flametongue
Frostband	Frostband
Kelpie Snare	Kelpie Snare
Dragoon's Shank	Dragoon's Shank
Fear and Loathing	Fear and Loathing
Soulfeast Tine	Soulfeast Tine
Dragon Soul	Dragon Soul
Dreams of Empire	Dreams of Empire
Hone Sundan	Hone Sundan
Imperial Dragonlance	Imperial Dragonlance
Jouster's Boast	Jouster's Boast
Spire of Honor	Spire of Honor
Ice Mephit	Ice Mephit
Arioc's Needle	Arioc's Needle
Kuo-Toa's Spear	Kuo-Toa's Spear
Breath Of Fire	Breath Of Fire
Imperial Passion	Imperial Passion
Viperfork	Viperfork
Spirit of Lachdonan	Spirit of Lachdonan
Spirit Light	Spirit Light
Prancing Pike	Prancing Pike
Steelpillar	Steelpillar
Hylocan Axe	Hylocan Axe
Knave's Ascendence	Knave's Ascendence
Dimoaks Hew	Dimoaks Hew
Simpering Edge	Simpering Edge
Oreseeker	Oreseeker
Steelgoad	Steelgoad
Slayer of Fields	Slayer of Fields
Rebuker	Rebuker
Soul Harvest	Soul Harvest
Axe of Sytherdan	Axe of Sytherdan
Landsplitter	Landsplitter
The Battlebranch	The Battlebranch
Snowy Sky	Snowy Sky
Ripskin	Ripskin
Woestave	Woestave
Sommerstrike Edge	Sommerstrike Edge
Slayer’s Debt	Slayer’s Debt
The Grim Reaper	The Grim Reaper
Count Kidran's Scythe	Count Kidran's Scythe
Fire Mephit	Fire Mephit
The Meat Scraper	The Meat Scraper
Griefspawn Touch	Griefspawn Touch
Sunderblight	Sunderblight
Blackleach Blade	Blackleach Blade
Harbormaster's Victory	Harbormaster's Victory
Survival Instinct	Survival Instinct
Athena's Wrath	Athena's Wrath
Moonlight Edge	Moonlight Edge
Trial by Fire	Trial by Fire
Pierre Tombale Couant	Pierre Tombale Couant
Kritchan's Ire	Kritchan's Ire
Father of Nations	Father of Nations
Husoldal Evo	Husoldal Evo
Killer's Glee	Killer's Glee
Dawn of the Dead	Dawn of the Dead
Grim's Burning Dead	Grim's Burning Dead
Ogre Cheiftain's Law	Ogre Cheiftain's Law
Bonehew	Bonehew
Titan's Reach	Titan's Reach
Kydra's Judgement	Kydra's Judgement
Winter Solstice	Winter Solstice
The Reaper's Toll	The Reaper's Toll
Gatecleaver	Gatecleaver
Tomb Reaver	Tomb Reaver
Cloud Giant's Axe	Cloud Giant's Axe
Dreadfear	Dreadfear
Kraken's Backlash	Kraken's Backlash
Stormspire	Stormspire
Invoker	Invoker
Puzzler’s Mystery	Puzzler’s Mystery
Bane Ash	Bane Ash
Touch of Evil	Touch of Evil
Puppeteer's Staff	Puppeteer's Staff
Serpent Lord1	Serpent Lord1
Wizard's Rule	Wizard's Rule
Sage's Retort	Sage's Retort
Lazarus Spire	Lazarus Spire
Staff of the Arch-Magus	Staff of the Arch-Magus
Strange Alchemy	Strange Alchemy
The Salamander	The Salamander
Warmth of Ash	Warmth of Ash
Riddlesolver	Riddlesolver
The Iron Jang Bong	The Iron Jang Bong
Arctic Frost	Arctic Frost
Staff of Shadows	Staff of Shadows
Razorswitch	Razorswitch
Ter'Angreal	Ter'Angreal
Silence of the Sphinx	Silence of the Sphinx
Ribcracker	Ribcracker
Staff of Valere	Staff of Valere
Rubydawn	Rubydawn
Chromatic Ire	Chromatic Ire
Knight's Prophet	Knight's Prophet
Grace of Isis	Grace of Isis
Warpspear	Warpspear
Arcane Protection	Arcane Protection
Survivor's Sonata	Survivor's Sonata
Skullcollector	Skullcollector
Road to Perdition	Road to Perdition
Jadrik's Torment	Jadrik's Torment
Ogden's Wisdom	Ogden's Wisdom
Gorgon Strength	Gorgon Strength
Light of Ra	Light of Ra
Ondal's Wisdom	Ondal's Wisdom
Summoner’s Risk	Summoner’s Risk
Sanctuary	Sanctuary
Everkeeper	Everkeeper
Mang Song's Lesson	Mang Song's Lesson
Acolyte's Wand	Acolyte's Wand
Bitter Sorrow	Bitter Sorrow
Iros Torch	Iros Torch
Ladrina's Enchantment	Ladrina's Enchantment
Ire of Astaroth	Ire of Astaroth
Maelstromwrath	Maelstromwrath
Skeleton's Claw	Skeleton's Claw
Child's Laughter	Child's Laughter
Gravenspine	Gravenspine
Dracolich Fang	Dracolich Fang
Scream of Despair	Scream of Despair
Umes Lament	Umes Lament
Epoch's End	Epoch's End
Apoclypse Fire	Apoclypse Fire
Suicide Branch	Suicide Branch
Medusa's Gaze	Medusa's Gaze
Huclavee's Flinch	Huclavee's Flinch
Carin Shard	Carin Shard
Asylum's Ward	Asylum's Ward
Wand of Fireballs	Wand of Fireballs
Arm of King Leoric	Arm of King Leoric
Nullwand	Nullwand
Gravedancer's Union	Gravedancer's Union
Blackhand Key	Blackhand Key
Voice of Reason	Voice of Reason
Darkmantle	Darkmantle
Chorus of the Cursed	Chorus of the Cursed
Specral Immage	Specral Immage
Vengeance of the Wronged	Vengeance of the Wronged
Boneshade	Boneshade
Pull of Darkness	Pull of Darkness
Deaths's Web	Deaths's Web
Freedom's Flight	Freedom's Flight
Violetwing	Violetwing
Pluckeye	Pluckeye
Target's	Target's
Carrion Wing	Carrion Wing
Witherstring	Witherstring
Elven Bow of Duadon	Elven Bow of Duadon
Gale Song	Gale Song
Rimeraven	Rimeraven
Silver Oak Bow	Silver Oak Bow
Warpwind	Warpwind
Piercerib	Piercerib
Shayira's Flight	Shayira's Flight
Willowsting	Willowsting
Pullspite	Pullspite
Kirre Strike	Kirre Strike
Beeswarm	Beeswarm
Wizendraw	Wizendraw
Sylvan Battle Bow	Sylvan Battle Bow
Ranger's Sting	Ranger's Sting
Hellclap	Hellclap
Telena's War Bow	Telena's War Bow
Finalflight	Finalflight
Blastbark	Blastbark
Teldicia's Sting	Teldicia's Sting
Dead to the World	Dead to the World
Skystrike	Skystrike
Sadira	Sadira
Iceweaver	Iceweaver
Riphook	Riphook
Fatima Ravenclaw	Fatima Ravenclaw
Bow of the Dead	Bow of the Dead
Kuko Shakaku	Kuko Shakaku
Larissa's Aim	Larissa's Aim
Ranger's Path	Ranger's Path
Endlesshail	Endlesshail
Hailstrike	Hailstrike
Pride's Paradox	Pride's Paradox
Whichwild String	Whichwild String
Heartseeker	Heartseeker
Crimson Crusade	Crimson Crusade
Cliffkiller	Cliffkiller
Dune Runner	Dune Runner
Remorhaz	Remorhaz
Magewrath	Magewrath
Ghost Mount	Ghost Mount
Harper's Call	Harper's Call
Godstrike Arch	Godstrike Arch
Arachnid's Bite	Arachnid's Bite
Black Widow	Black Widow
Foxfire Leaf	Foxfire Leaf
Razor Strike	Razor Strike
Golgomere	Golgomere
Death Shade	Death Shade
Oathbow	Oathbow
Phantom Pegasus	Phantom Pegasus
Nine Lives Stealer	Nine Lives Stealer
Celestial Strike	Celestial Strike
Elflord's Victory	Elflord's Victory
Eaglehorn	Eaglehorn
Patron of Perversity	Patron of Perversity
Widowmaker	Widowmaker
Adamantine Bow	Adamantine Bow
Windforce	Windforce
Replenishing Quiver	Replenishing Quiver
Quiver of Piercing	Quiver of Piercing
Quiver of Slaying	Quiver of Slaying
Rethral	Rethral
Nail Flinger	Nail Flinger
Leadcrow	Leadcrow
Piercing Bolt	Piercing Bolt
Janglebright	Janglebright
Ichorsting	Ichorsting
Harpo Bogglinn	Harpo Bogglinn
Spikethrower	Spikethrower
Hellcast	Hellcast
Synthalus	Synthalus
King's Nail	King's Nail
Doomspittle	Doomspittle
Kyuss' Crossbow	Kyuss' Crossbow
Garlana Firebolt	Garlana Firebolt
Langer Briser	Langer Briser
Giant Hair Crossbow	Giant Hair Crossbow
Raven Myst	Raven Myst
Pus Spiter	Pus Spiter
Whyte Stag	Whyte Stag
Senmet's Boltcaster	Senmet's Boltcaster
Buriza-Do Kyanon	Buriza-Do Kyanon
Ashira's Stunbeam	Ashira's Stunbeam
Widow's Refrain	Widow's Refrain
Demon Machine	Demon Machine
Stoneblaster	Stoneblaster
Doubleshot Machine	Doubleshot Machine
Wightslayer	Wightslayer
Grey Render	Grey Render
Bluebeard	Bluebeard
Hellrack	Hellrack
Thor's Bolt	Thor's Bolt
Gutsiphon	Gutsiphon
Replenishing Bolt Case	Replenishing Bolt Case
Bolt Case of Piercing	Bolt Case of Piercing
Bolt Case of Slaying	Bolt Case of Slaying
Hippogriff Wing	Hippogriff Wing
Leafrazor	Leafrazor
Stone Eater	Stone Eater
Amazon's Kiss	Amazon's Kiss
Skyglow	Skyglow
Luck Chaser	Luck Chaser
Chaoskiller	Chaoskiller
Teeth of Infinity	Teeth of Infinity
Pridebreaker	Pridebreaker
Cadin'Sor	Cadin'Sor
Sting of Humiliation	Sting of Humiliation
Mind Creche	Mind Creche
Dancing Scarecrow	Dancing Scarecrow
Splinterfreeze	Splinterfreeze
Baba Yaga's Needle	Baba Yaga's Needle
Aiel Javelins	Aiel Javelins
Rhyme of the Bard	Rhyme of the Bard
Severalkill	Severalkill
Gnomebane	Gnomebane
Weeping at the Gate	Weeping at the Gate
Trump of Jericho	Trump of Jericho
Artimus's Spiculum	Artimus's Spiculum
Cursed One	Cursed One
Hatemonger	Hatemonger
Confusion Flight	Confusion Flight
Blessed One	Blessed One
Warbreeder	Warbreeder
Silver-Tipped Harpoons	Silver-Tipped Harpoons
Blessings of Osiris	Blessings of Osiris
Bowel Twister	Bowel Twister
Jaguar's Claw	Jaguar's Claw
Arc of the Rainbow	Arc of the Rainbow
Woundripper	Woundripper
Summerstrike	Summerstrike
Clockwork Horror	Clockwork Horror
Demon's Arch	Demon's Arch
Invisible Stalker	Invisible Stalker
Wraithflight	Wraithflight
Serpent Lord	Serpent Lord
Gargoyle's Bite	Gargoyle's Bite
Spectral Slayer	Spectral Slayer
Tonguecutter	Tonguecutter
Solstice Edge	Solstice Edge
Oakplume	Oakplume
Timbersplitter	Timbersplitter
Spleen Feaster	Spleen Feaster
Banshee's Cry	Banshee's Cry
Despicable Behavior	Despicable Behavior
The Scalper	The Scalper
Axes of Jahadra	Axes of Jahadra
Instigator	Instigator
Brainraver	Brainraver
Winged Serpent	Winged Serpent
Gimmershred	Gimmershred
Golden Wyndlass	Golden Wyndlass
Lacerator	Lacerator
Sheera's Knives	Sheera's Knives
Subtle Slice	Subtle Slice
Splinterbeam	Splinterbeam
Deadly Needle	Deadly Needle
Initiator	Initiator
Dead Scoffer	Dead Scoffer
Swarming Blades	Swarming Blades
Silt Runner	Silt Runner
Deathbit	Deathbit
Darts of Evermeet	Darts of Evermeet
Ravenstar	Ravenstar
Pain Harvester	Pain Harvester
Fallen Glory	Fallen Glory
Shard of the North Star	Shard of the North Star
Frostbite Shard	Frostbite Shard
Warshrike	Warshrike
Hungerpang	Hungerpang
Ashenwrath	Ashenwrath
Greyform	Greyform
Ogden's Shroud	Ogden's Shroud
JuJu Flame	JuJu Flame
Blinkbats Form	Blinkbats Form
Armor of Gloom	Armor of Gloom
Stinkshroud	Stinkshroud
The Centurion	The Centurion
Scarab of Protection	Scarab of Protection
Gemini Coat	Gemini Coat
Twitchthroe	Twitchthroe
The Shadowed One	The Shadowed One
Steelflesh	Steelflesh
Darkglow	Darkglow
Red Dragon Scails	Red Dragon Scails
Mandrake's Bloom	Mandrake's Bloom
Hawkmail	Hawkmail
Ghosly Chainmail	Ghosly Chainmail
Xanadu Dreams	Xanadu Dreams
Sparking Mail	Sparking Mail
Breastplate of Gond	Breastplate of Gond
Shattering Blow	Shattering Blow
Venomsward	Venomsward
Starsong	Starsong
Russetfire	Russetfire
Iceblink	Iceblink
Armor of Warmth	Armor of Warmth
Celestial Revelation	Celestial Revelation
Boneflesh	Boneflesh
Dreamscape	Dreamscape
Ion Storm	Ion Storm
Rockfleece	Rockfleece
A Knight's Tale	A Knight's Tale
Golem’s Gain	Golem’s Gain
Rattlecage	Rattlecage
Kaz's Battle Armor	Kaz's Battle Armor
Halcyon Shroud	Halcyon Shroud
Goldskin	Goldskin
Greyhawk Dragon	Greyhawk Dragon
Killing Blow	Killing Blow
Victors Silk	Victors Silk
Weightless Grace	Weightless Grace
Madness of Chthulu	Madness of Chthulu
Heavenly Garb	Heavenly Garb
Rainbow Cloak	Rainbow Cloak
Gillian's Brazier	Gillian's Brazier
The Spirit Shroud	The Spirit Shroud
Anaconda Skin	Anaconda Skin
Scavanger's Carapace	Scavanger's Carapace
Skin of the Vipermagi	Skin of the Vipermagi
Torn Flesh of Souls	Torn Flesh of Souls
The Defiler's Flesh	The Defiler's Flesh
Skin of the Flayerd One	Skin of the Flayerd One
Lilt of the Dryad	Lilt of the Dryad
Cold Comfort	Cold Comfort
Ironpelt	Ironpelt
Heartbane	Heartbane
Adamantine Mail	Adamantine Mail
Spiritforge	Spiritforge
Weakest Link	Weakest Link
Panic of Thousands	Panic of Thousands
Crow Caw	Crow Caw
Drow Chainmail	Drow Chainmail
Disparate Paths	Disparate Paths
Shaftstop	Shaftstop
Tesla's Cuirass	Tesla's Cuirass
Mother’s Milk	Mother’s Milk
Duriel's Shell	Duriel's Shell
Brimstone Hearth	Brimstone Hearth
Scars of the Forefathers	Scars of the Forefathers
Skullder's Ire	Skullder's Ire
Demonspike Coat	Demonspike Coat
Succulent Sin	Succulent Sin
Guardian Angel	Guardian Angel
Bloodlust Frenzy	Bloodlust Frenzy
Seaflame	Seaflame
Toothrow	Toothrow
Royal Plate	Royal Plate
Nightcrawler	Nightcrawler
Atma's Wail	Atma's Wail
Shambling Mound	Shambling Mound
Evening Sky	Evening Sky
Black Hades	Black Hades
Adamantine Plate	Adamantine Plate
Iceskin	Iceskin
Corpsemourn	Corpsemourn
Plate of Fistindantalas	Plate of Fistindantalas
Serendipity	Serendipity
Que-Hegan's Wisdon	Que-Hegan's Wisdon
Blanket of Stars	Blanket of Stars
Ormus' Robes	Ormus' Robes
Ancient Dragon	Ancient Dragon
Crescent of Secrets	Crescent of Secrets
Zaratan Hide	Zaratan Hide
Aprhodite's Girdle	Aprhodite's Girdle
Wyrmbane	Wyrmbane
The Gladiator's Bane	The Gladiator's Bane
Adamantine Links	Adamantine Links
Feathering Mithril	Feathering Mithril
Will-O'-Wisp	Will-O'-Wisp
Golden Lotus	Golden Lotus
Chains of the Abyss	Chains of the Abyss
Tarrasque Hide	Tarrasque Hide
Celestial Unicorn	Celestial Unicorn
Gray God's Mantle	Gray God's Mantle
Diablo's Scale	Diablo's Scale
Arkaine's Valor	Arkaine's Valor
Hellshifter	Hellshifter
Lunatic Fringe	Lunatic Fringe
Ocean’s Embrace	Ocean’s Embrace
Leviathan	Leviathan
Lachdonnan's Heart	Lachdonnan's Heart
Pride of the Barony	Pride of the Barony
Shadowtrick	Shadowtrick
Steel Carapice	Steel Carapice
Tyrael's Might	Tyrael's Might
Templar's Might	Templar's Might
Heaven’s Treasure	Heaven’s Treasure
Legacy of the Eternals	Legacy of the Eternals
Nameweaver	Nameweaver
Trickster’s Guise	Trickster’s Guise
War Bonnet	War Bonnet
Liespreader	Liespreader
Devourer of Dreams	Devourer of Dreams
Tarnhelm	Tarnhelm
Barbazu's Smile	Barbazu's Smile
Freedom's Façade	Freedom's Façade
Coif of Glory	Coif of Glory
Harpy's Call	Harpy's Call
Equinox Visor	Equinox Visor
Duskdeep	Duskdeep
Satyr's Speech	Satyr's Speech
Hindsight	Hindsight
Wormskull	Wormskull
Fool's Crest	Fool's Crest
Morning's Tears	Morning's Tears
Howltusk	Howltusk
Gaiden's Loss	Gaiden's Loss
Crown of Thorns	Crown of Thorns
Undead Crown	Undead Crown
Blindman's Bluff	Blindman's Bluff
Treachery’s Allure	Treachery’s Allure
The Face of Horror	The Face of Horror
Pepin's Blessing	Pepin's Blessing
Hushmaker	Hushmaker
Peasent Crown	Peasent Crown
Drunken Fury	Drunken Fury
Neonate's Sallet	Neonate's Sallet
Rockstopper	Rockstopper
Helm of Ra	Helm of Ra
Troubled Thoughts	Troubled Thoughts
Stealskull	Stealskull
Knight's Crest	Knight's Crest
Wraithwatch	Wraithwatch
Darksight Helm	Darksight Helm
Gotterdamerung	Gotterdamerung
Embracing Solitude	Embracing Solitude
Valkiry Wing	Valkiry Wing
Usurper's Ambition	Usurper's Ambition
Reign of Deceit	Reign of Deceit
Crown of Thieves	Crown of Thieves
Wraithshadow	Wraithshadow
Archnemesis	Archnemesis
Blackhorn's Face	Blackhorn's Face
Ghoulslayer	Ghoulslayer
Skull of Fistindantalas	Skull of Fistindantalas
Vampiregaze	Vampiregaze
Bane's Dark Wisdom	Bane's Dark Wisdom
Harlequin Crest	Harlequin Crest
Overlord's Helm	Overlord's Helm
Slaver's Price	Slaver's Price
Steelshade	Steelshade
Darkfear	Darkfear
Conch of Dismay	Conch of Dismay
Judas Kiss	Judas Kiss
Veil of Steel	Veil of Steel
Nightwing's Veil	Nightwing's Veil
King Conan's Rule	King Conan's Rule
Crown of Ages	Crown of Ages
Lolith's Crest	Lolith's Crest
Andariel's Visage	Andariel's Visage
Kiss of the Vampire	Kiss of the Vampire
Giantskull	Giantskull
Fairweather	Fairweather
Muddled Thoughts	Muddled Thoughts
Charon's Token	Charon's Token
Gainsayer	Gainsayer
Threatspeaker	Threatspeaker
Sorcerer's Cache	Sorcerer's Cache
Gillian's Hairpin	Gillian's Hairpin
Mystic Angel	Mystic Angel
Kira's Guardian	Kira's Guardian
Blindsight	Blindsight
Royal Circlet	Royal Circlet
Griffon's Eye	Griffon's Eye
